row_label_raw,row_label_full,col_0,Don vi tính: triệu VND > Năm nay,Don vi tính: triệu VND > Năm trước,numeric__Don vi tính: triệu VND > Năm nay,numeric__Don vi tính: triệu VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,125.780.761,110.755.497,125780761.0,110755497.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,79.476.779,72.239.056,79476779.0,72239056.0
Doanh thu từ hoạt động sản xuất,Trong đó: > Doanh thu từ hoạt động sản xuất,Doanh thu từ hoạt động sản xuất,16.997.916,17.599.985,16997916.0,17599985.0
"Doanh thu từ cung cấp dịch vụ tổng thầu xây dựng, tư vấn thiết kế và giám sát thi công","Trong đó: > Doanh thu từ cung cấp dịch vụ tổng thầu xây dựng, tư vấn thiết kế và giám sát thi công","Doanh thu từ cung cấp dịch vụ tổng thầu xây dựng, tư vấn thiết kế và giám sát thi công",6.880.412,447.501,6880412.0,447501.0
Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Trong đó: > Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,5.368.456,6.662.044,5368456.0,6662044.0
Doanh thu bán hàng tiêu dùng,Trong đó: > Doanh thu bán hàng tiêu dùng,Doanh thu bán hàng tiêu dùng,4.322.202,1.101.490,4322202.0,1101490.0
"Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Trong đó: > Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",3.244.226,4.878.073,3244226.0,4878073.0
Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,2.777.795,2.674.749,2777795.0,2674749.0
Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,2.252.456,2.244.430,2252456.0,2244430.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,4.460.519,2.908.169,4460519.0,2908169.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(92.891),(265.464),-92891.0,-265464.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,125.687.870,110.490.033,125687870.0,110490033.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,79.452.457,72.167.292,79452457.0,72167292.0
Doanh thu từ hoạt động sản xuất,Trong đó: > Doanh thu từ hoạt động sản xuất,Doanh thu từ hoạt động sản xuất,16.936.815,17.415.481,16936815.0,17415481.0
"Doanh thu từ cung cấp dịch vụ tổng thầu xây dựng, tư vấn thiết kế và giám sát thi công","Trong đó: > Doanh thu từ cung cấp dịch vụ tổng thầu xây dựng, tư vấn thiết kế và giám sát thi công","Doanh thu từ cung cấp dịch vụ tổng thầu xây dựng, tư vấn thiết kế và giám sát thi công",6.880.412,447.501,6880412.0,447501.0
Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Trong đó: > Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,5.368.456,6.662.044,5368456.0,6662044.0
Doanh thu bán hàng tiêu dùng,Trong đó: > Doanh thu bán hàng tiêu dùng,Doanh thu bán hàng tiêu dùng,4.316.201,1.101.490,4316201.0,1101490.0
"Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Trong đó: > Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",3.242.759,4.868.877,3242759.0,4868877.0
Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,2.777.795,2.674.749,2777795.0,2674749.0
Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,2.252.456,2.244.430,2252456.0,2244430.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,4.460.519,2.908.169,4460519.0,2908169.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,118.855.817,110.455.046,118855817.0,110455046.0
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,6.832.053,34.987,6832053.0,34987.0
