row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND_1,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Đơn vị tính: triệu VND,numeric__Đơn vị tính: triệu VND_1
,,,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,,,,,,,,,
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,,
Số đầu năm (Trình bày lại),Năm nay > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),34.447.691,35.411.957,7.235.206,(2.284.059),(42.408),67.845,4.359.645,57.169.438,136.365.315,34447691.0,35411957.0,7235206.0,-2284059.0,-42408.0,67845.0,4359645.0,57169438.0,136365315.0
- Lỗ thuần trong kỳ,Năm nay > - Lỗ thuần trong kỳ,- Lỗ thuần trong kỳ,-,-,-,-,-,-,(2.513.883),(5.044.281),(7.558.164),,,,,,,-2513883.0,-5044281.0,-7558164.0
- Trích quỹ khác,Năm nay > - Trích quỹ khác,- Trích quỹ khác,-,-,-,-,-,10.000,(8.680),(1.320),-,,,,,,10000.0,-8680.0,-1320.0,
- Tài phát hành cổ phiếu quỹ (i),Năm nay > - Tài phát hành cổ phiếu quỹ (i),- Tài phát hành cổ phiếu quỹ (i),-,4.408.638,-,939.936,-,-,-,84.998,5.433.572,,4408638.0,,939936.0,,,,84998.0,5433572.0
- Trả cổ tức bằng cổ phiếu (ii),Năm nay > - Trả cổ tức bằng cổ phiếu (ii),- Trả cổ tức bằng cổ phiếu (ii),4.227.842,-,6.967.448,-,-,-,(11.195.290),-,-,4227842.0,,6967448.0,,,,-11195290.0,,
- Công ty con tăng vốn (iii),Năm nay > - Công ty con tăng vốn (iii),- Công ty con tăng vốn (iii),-,-,4.279.218,-,-,-,(4.279.218),-,-,,,4279218.0,,,,-4279218.0,,
- Mua công ty con mới,Năm nay > - Mua công ty con mới,- Mua công ty con mới,-,-,-,-,-,-,-,159.903,159.903,,,,,,,,159903.0,159903.0
"- Chuyển nhượng, giải thể công ty con","Năm nay > - Chuyển nhượng, giải thể công ty con","- Chuyển nhượng, giải thể công ty con",-,-,-,-,-,-,-,376.543,376.543,,,,,,,,376543.0,376543.0
- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát (iv),Năm nay > - Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát (iv),- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát (iv),-,242.578,-,-,-,-,18.355.549,(2.307.443),16.290.684,,242578.0,,,,,18355549.0,-2307443.0,16290684.0
- Góp vốn từ cổ đông không kiểm soát (v),Năm nay > - Góp vốn từ cổ đông không kiểm soát (v),- Góp vốn từ cổ đông không kiểm soát (v),-,-,-,-,-,-,-,10.382.468,10.382.468,,,,,,,,10382468.0,10382468.0
"- Cổ tức, lợi nhuận chia bồi các công ty con cho cổ đông không kiểm soát (vi)","Năm nay > - Cổ tức, lợi nhuận chia bồi các công ty con cho cổ đông không kiểm soát (vi)","- Cổ tức, lợi nhuận chia bồi các công ty con cho cổ đông không kiểm soát (vi)",-,-,-,-,-,-,-,(1.718.207),(1.718.207),,,,,,,,-1718207.0,-1718207.0
- Thay đổi khác,Năm nay > - Thay đổi khác,- Thay đổi khác,-,-,-,-,(155.998),-,-,(4.250),(160.248),,,,,-155998.0,,,-4250.0,-160248.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,38.675.533,40.063.173,18.481.872,(1.344.123),(198.406),77.845,4.718.123,59.097.849,159.571.866,38675533.0,40063173.0,18481872.0,-1344123.0,-198406.0,77845.0,4718123.0,59097849.0,159571866.0
