row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
- Chi phí dịch vụ mua ngoài,Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,4.133.364,4.753.335,4133364.0,4753335.0
- Chi phí nhân viên bán hàng,Chi phí bán hàng > - Chi phí nhân viên bán hàng,- Chi phí nhân viên bán hàng,1.531.471,1.387.606,1531471.0,1387606.0
- Chi phí bán hàng khác,Chi phí bán hàng > - Chi phí bán hàng khác,- Chi phí bán hàng khác,1.245.073,1.112.644,1245073.0,1112644.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,6.909.908,7.253.585,6909908.0,7253585.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
- Chi phí hỗ trợ và từ thiện (i),Chi phí quản lý doanh nghiệp > - Chi phí hỗ trợ và từ thiện (i),- Chi phí hỗ trợ và từ thiện (i),6.042.109,1.650.188,6042109.0,1650188.0
- Chi phí nghiên cứu và phát triển (ii),Chi phí quản lý doanh nghiệp > - Chi phí nghiên cứu và phát triển (ii),- Chi phí nghiên cứu và phát triển (ii),4.662.419,800.443,4662419.0,800443.0
- Trích lập dự phòng (iii),Chi phí quản lý doanh nghiệp > - Trích lập dự phòng (iii),- Trích lập dự phòng (iii),4.013.034,3.785.463,4013034.0,3785463.0
- Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > - Chi phí nhân viên quản lý,- Chi phí nhân viên quản lý,3.652.450,3.581.266,3652450.0,3581266.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,3.048.045,2.049.541,3048045.0,2049541.0
"- Chi phí khấu hao, hao mòn tài sản cố định và phân bổ lợi thế thương mại","Chi phí quản lý doanh nghiệp > - Chi phí khấu hao, hao mòn tài sản cố định và phân bổ lợi thế thương mại","- Chi phí khấu hao, hao mòn tài sản cố định và phân bổ lợi thế thương mại",1.415.701,1.386.416,1415701.0,1386416.0
- Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,1.200.701,149.772,1200701.0,149772.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,24.034.459,13.403.089,24034459.0,13403089.0
