row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam > Ngân hàng Bank of China (Hong Kong) Limited – Chi nhánh Hồ Chí Minh > Ngân Hàng Malayan Banking Berhad > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh > Ngân hàng TMCP Kỹ Thương Việt Nam,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam > Ngân hàng Bank of China (Hong Kong) Limited – Chi nhánh Hồ Chí Minh > Ngân Hàng Malayan Banking Berhad > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh > Ngân hàng TMCP Kỹ Thương Việt Nam_1,Số cuối năm > Nguyên tệ > VND > USD > VND,Số cuối năm > Triệu VND > 1.047.280 > 675.572 > 528.812 > 280.379 > 246.847 > 4.037,Ngày đáo hạn > Từ tháng 1 năm 2022đến tháng 6 năm 2022 > Từ tháng 2 năm 2022đến tháng 9 năm 2022 > Tháng 1 năm 2022 > Tháng 6 năm 2022 > Tháng 7 năm 2022,Tài sản đảm bảo > (i) > (ii) > (i) > (ii),numeric__Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam > Ngân hàng Bank of China (Hong Kong) Limited – Chi nhánh Hồ Chí Minh > Ngân Hàng Malayan Banking Berhad > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh > Ngân hàng TMCP Kỹ Thương Việt Nam_1,numeric__Số cuối năm > Nguyên tệ > VND > USD > VND,numeric__Số cuối năm > Triệu VND > 1.047.280 > 675.572 > 528.812 > 280.379 > 246.847 > 4.037,numeric__Ngày đáo hạn > Từ tháng 1 năm 2022đến tháng 6 năm 2022 > Từ tháng 2 năm 2022đến tháng 9 năm 2022 > Tháng 1 năm 2022 > Tháng 6 năm 2022 > Tháng 7 năm 2022,numeric__Tài sản đảm bảo > (i) > (ii) > (i) > (ii)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,2.782.927,,,,,2782927.0,,
Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2021 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2021 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2021 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2021 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2021 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2021 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2021 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2021 như sau:,,,,,
Khoản vay,Khoản vay,Khoản vay,Nguyên tệ,Lãi suất,,,,,,,,
Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,VND,"Lãi suất cố định trong khoảng từ 4,5%/năm đến 6,8%/năm",,,,,,,,
Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,VND,"Lãi suất cố định trong khoảng từ 3,2%/năm đến 8,5%/năm",,,,,,,,
Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,USD,"Lãi suất cố định 4,25%/năm",,,,,,,,
"(i) Tại ngày 31 tháng 12 năm 2021, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11);- Một số hợp đồng tiền gửi của một số công ty con (Thuyết minh số 5); và- một số cổ phiếu của một số công ty con nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2021, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11);- Một số hợp đồng tiền gửi của một số công ty con (Thuyết minh số 5); và- một số cổ phiếu của một số công ty con nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2021, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11);- Một số hợp đồng tiền gửi của một số công ty con (Thuyết minh số 5); và- một số cổ phiếu của một số công ty con nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2021, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11);- Một số hợp đồng tiền gửi của một số công ty con (Thuyết minh số 5); và- một số cổ phiếu của một số công ty con nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2021, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11);- Một số hợp đồng tiền gửi của một số công ty con (Thuyết minh số 5); và- một số cổ phiếu của một số công ty con nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2021, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11);- Một số hợp đồng tiền gửi của một số công ty con (Thuyết minh số 5); và- một số cổ phiếu của một số công ty con nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2021, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11);- Một số hợp đồng tiền gửi của một số công ty con (Thuyết minh số 5); và- một số cổ phiếu của một số công ty con nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.","(i) Tại ngày 31 tháng 12 năm 2021, các khoản vay ngắn hạn này được đảm bảo bằng các tài sản sau:- Một số hàng tồn kho (Thuyết minh số 11);- Một số hợp đồng tiền gửi của một số công ty con (Thuyết minh số 5); và- một số cổ phiếu của một số công ty con nằm giữ bởi Công ty.(ii) Các khoản vay này không có tài sản đảm bảo.",,,,,
