row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Đặt cọc cho mục đích đầu tư (i),Ngắn hạn > Đặt cọc cho mục đích đầu tư (i),Đặt cọc cho mục đích đầu tư (i),2.592.701,3.054.163,2592701.0,3054163.0
Đặt cọc cho mục đích thương mại (ii),Ngắn hạn > Đặt cọc cho mục đích thương mại (ii),Đặt cọc cho mục đích thương mại (ii),1.032.337,-,1032337.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,3.625.038,3.054.163,3625038.0,3054163.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Đặt cọc với bên liên quan (Thuyết minh số 37),Trong đó: > Đặt cọc với bên liên quan (Thuyết minh số 37),Đặt cọc với bên liên quan (Thuyết minh số 37),394.000,-,394000.0,
Đặt cọc với đối tượng khác,Trong đó: > Đặt cọc với đối tượng khác,Đặt cọc với đối tượng khác,3.231.038,3.054.163,3231038.0,3054163.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Đặt cọc cho mục đích đầu tư,Dài hạn > Đặt cọc cho mục đích đầu tư,Đặt cọc cho mục đích đầu tư,299.089,-,299089.0,
Đặt cọc cho mục đích thương mại (ii),Dài hạn > Đặt cọc cho mục đích thương mại (ii),Đặt cọc cho mục đích thương mại (ii),-,1.032.337,,1032337.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,299.089,1.032.337,299089.0,1032337.0
