row_label_raw,row_label_full,col_0,01/01/2021 > Giá trị,01/01/2021 > Số có khả năngtrà nợ,Trong năm > Tăng,Trong năm > Giảm,Trong năm > Tăng từ hợpnhất kinh doanh,31/12/2021 > Giá trị,31/12/2021 > Số có khả năngtrà nợ,numeric__01/01/2021 > Giá trị,numeric__01/01/2021 > Số có khả năngtrà nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Trong năm > Tăng từ hợpnhất kinh doanh,numeric__31/12/2021 > Giá trị,numeric__31/12/2021 > Số có khả năngtrà nợ
,,,VND,VND,VND,VND,,VND,VND,,,,,,,
- Trái phiếu,- Trái phiếu,- Trái phiếu,- Trái phiếu,- Trái phiếu,- Trái phiếu,- Trái phiếu,- Trái phiếu,- Trái phiếu,- Trái phiếu,,,,,,,
+ Trái phiếu thường\( ^{(10)} \),- Trái phiếu > + Trái phiếu thường\( ^{(10)} \),+ Trái phiếu thường\( ^{(10)} \),-,-,250.312.416.666,3.749.000.000,-,246.563.416.666,246.563.416.666,,,250312416666.0,3749000000.0,,246563416666.0,246563416666.0
- Nợ dài hạn đến hạn trả,- Trái phiếu > - Nợ dài hạn đến hạn trả,- Nợ dài hạn đến hạn trả,2.500.000.000,2.500.000.000,402.018.750.009,107.500.000.000,-,297.018.750.009,297.018.750.009,2500000000.0,2500000000.0,402018750009.0,107500000000.0,,297018750009.0,297018750009.0
+ Ngân hàng TMCP Việt Nam ThịnhVượng - Chi nhánh Đắk Lắk\( ^{(7)} \),- Trái phiếu > + Ngân hàng TMCP Việt Nam ThịnhVượng - Chi nhánh Đắk Lắk\( ^{(7)} \),+ Ngân hàng TMCP Việt Nam ThịnhVượng - Chi nhánh Đắk Lắk\( ^{(7)} \),2.500.000.000,2.500.000.000,2.500.000.008,2.500.000.000,-,2.500.000.008,2.500.000.008,2500000000.0,2500000000.0,2500000008.0,2500000000.0,,2500000008.0,2500000008.0
+ Ngân hàng TMCP Việt Á - Chinhánh Thành phố Hồ Chí Minh,- Trái phiếu > + Ngân hàng TMCP Việt Á - Chinhánh Thành phố Hồ Chí Minh,+ Ngân hàng TMCP Việt Á - Chinhánh Thành phố Hồ Chí Minh,-,-,105.000.000.000,105.000.000.000,-,-,-,,,105000000000.0,105000000000.0,,,
+ Trái phiếu thường\( ^{(10)} \),- Trái phiếu > + Trái phiếu thường\( ^{(10)} \),+ Trái phiếu thường\( ^{(10)} \),,-,294.518.750.001,-,,294.518.750.001,294.518.750.001,,,294518750001.0,,,294518750001.0,294518750001.0
,,,316.691.492.350,316.691.492.350,1.954.149.090.801,1.230.087.652.179,-,1.040.752.930.972,1.040.752.930.972,316691492350.0,316691492350.0,1954149090801.0,1230087652179.0,,1040752930972.0,1040752930972.0
b) Vay dài hạn,- Trái phiếu > b) Vay dài hạn,b) Vay dài hạn,314.860.946.963,314.860.946.963,657.818.942.927,144.750.122.553,32.503.292.181,860.433.059.518,860.433.059.518,314860946963.0,314860946963.0,657818942927.0,144750122553.0,32503292181.0,860433059518.0,860433059518.0
+ Ngân hàng TMCP Việt Nam ThịnhVượng - Chi nhánh Đắk Lắk\( ^{(7)} \),- Trái phiếu > + Ngân hàng TMCP Việt Nam ThịnhVượng - Chi nhánh Đắk Lắk\( ^{(7)} \),+ Ngân hàng TMCP Việt Nam ThịnhVượng - Chi nhánh Đắk Lắk\( ^{(7)} \),17.708.333.326,17.708.333.326,-,2.500.000.008,-,15.208.333.318,15.208.333.318,17708333326.0,17708333326.0,,2500000008.0,,15208333318.0,15208333318.0
+ Ngân hàng TMCP Việt Á - Chinhánh Thành phố Hồ Chí Minh\( ^{(8)} \),- Trái phiếu > + Ngân hàng TMCP Việt Á - Chinhánh Thành phố Hồ Chí Minh\( ^{(8)} \),+ Ngân hàng TMCP Việt Á - Chinhánh Thành phố Hồ Chí Minh\( ^{(8)} \),-,-,240.000.000.000,123.000.000.000,-,117.000.000.000,117.000.000.000,,,240000000000.0,123000000000.0,,117000000000.0,117000000000.0
- Công ty Cổ phần Xuất Nhập KhẩuTổng hợp I Việt Nam\( ^{(9)} \),- Trái phiếu > - Công ty Cổ phần Xuất Nhập KhẩuTổng hợp I Việt Nam\( ^{(9)} \),- Công ty Cổ phần Xuất Nhập KhẩuTổng hợp I Việt Nam\( ^{(9)} \),-,-,9.616.799.996,-,-,9.616.799.996,9.616.799.996,,,9616799996.0,,,9616799996.0,9616799996.0
- Trái phiếu thường\( ^{(10)} \),- Trái phiếu > - Trái phiếu thường\( ^{(10)} \),- Trái phiếu thường\( ^{(10)} \),297.152.613.637,297.152.613.637,408.202.142.931,19.250.122.545,32.503.292.181,718.607.926.204,718.607.926.204,297152613637.0,297152613637.0,408202142931.0,19250122545.0,32503292181.0,718607926204.0,718607926204.0
,,,314.860.946.963,314.860.946.963,657.818.942.927,144.750.122.553,32.503.292.181,860.433.059.518,860.433.059.518,314860946963.0,314860946963.0,657818942927.0,144750122553.0,32503292181.0,860433059518.0,860433059518.0
Khoản đến hạn trả trong vòng 12 tháng,- Trái phiếu > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,(2.500.000.000),(2.500.000.000),(402.018.750.009),(107.500.000.000),-,(297.018.750.009),(297.018.750.009),-2500000000.0,-2500000000.0,-402018750009.0,-107500000000.0,,-297018750009.0,-297018750009.0
Khoản đến hạn trả sau 12 tháng,- Trái phiếu > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,312.360.946.963,312.360.946.963,,,,563.414.309.509,563.414.309.509,312360946963.0,312360946963.0,,,,563414309509.0,563414309509.0
