row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Cộng,numeric__Quyền sử dụng đất (*),"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.099.000.000,140.105.412.263,51.666.356.733,193.870.768.996,2099000000.0,140105412263.0,51666356733.0,193870768996.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.099.000.000,140.105.412.263,51.666.356.733,193.870.768.996,2099000000.0,140105412263.0,51666356733.0,193870768996.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,81.627.777,26.051.259.140,20.447.805.003,46.580.691.920,81627777.0,26051259140.0,20447805003.0,46580691920.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,46.644.444,3.201.190.627,2.236.122.275,5.483.957.346,46644444.0,3201190627.0,2236122275.0,5483957346.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,128.272.221,29.252.449.767,22.683.927.278,52.064.649.266,128272221.0,29252449767.0,22683927278.0,52064649266.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,2.017.372.223,114.054.153.123,31.218.551.730,147.290.077.076,2017372223.0,114054153123.0,31218551730.0,147290077076.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.970.727.779,110.852.962.496,28.982.429.455,141.806.119.730,1970727779.0,110852962496.0,28982429455.0,141806119730.0
