row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.565.045.400.000,-,15.081.857.924,12.056.937.705,96.995.135.190,196.171.533.417,2.885.350.864.236,2565045400000.0,,15081857924.0,12056937705.0,96995135190.0,196171533417.0,2885350864236.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,-,-,-,500.440.000.000,500.440.000.000,,,,,,500440000000.0,500440000000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,92.623.742.948,8.385.980.518,101.009.723.466,,,,,92623742948.0,8385980518.0,101009723466.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(7.430.261.083),(1.561.038.544),(8.991.299.627),,,,,-7430261083.0,-1561038544.0,-8991299627.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,-,(7.418.369.294),(7.418.369.294),,,,,,-7418369294.0,-7418369294.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,-,-,15.835.481.559,-,(15.835.481.559),-,-,,,15835481559.0,,-15835481559.0,,
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,1.571.000.000,-,(1.571.000.000),-,-,,,1571000000.0,,-1571000000.0,,
Thay đổi quyền sở hữu trong các công ty con,Thay đổi quyền sở hữu trong các công ty con,Thay đổi quyền sở hữu trong các công ty con,-,-,-,-,63.926.079.755,(63.926.079.755),-,,,,,63926079755.0,-63926079755.0,
Thay đổi quyền sở hữu trong các công ty liên,Thay đổi quyền sở hữu trong các công ty liên,Thay đổi quyền sở hữu trong các công ty liên,-,-,-,-,(2.671.527.920),-,(2.671.527.920),,,,,-2671527920.0,,-2671527920.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,(15.487.500),-,(5.512.500),(21.000.000),,,,-15487500.0,,-5512500.0,-21000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.565.045.400.000,-,32.488.339.483,12.041.450.205,226.036.687.331,632.086.513.842,3.467.698.390.861,2565045400000.0,,32488339483.0,12041450205.0,226036687331.0,632086513842.0,3467698390861.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.565.045.400.000,-,32.488.339.483,12.041.450.205,226.036.687.331,632.086.513.842,3.467.698.390.861,2565045400000.0,,32488339483.0,12041450205.0,226036687331.0,632086513842.0,3467698390861.0
Tăng vốn trong năm nay (*),Tăng vốn trong năm nay (*),Tăng vốn trong năm nay (*),934.926.500.000,(374.324.139),-,-,-,(49.676.189),934.502.499.672,934926500000.0,-374324139.0,,,,-49676189.0,934502499672.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,154.339.656.532,5.582.292.505,159.921.949.037,,,,,154339656532.0,5582292505.0,159921949037.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(5.151.157.775),(550.829.654),(5.701.987.429),,,,,-5151157775.0,-550829654.0,-5701987429.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,-,(4.968.953.462),(4.968.953.462),,,,,,-4968953462.0,-4968953462.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,-,-,8.314.220.000,-,(8.314.220.000),-,-,,,8314220000.0,,-8314220000.0,,
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,7.135.800,-,(7.135.800),-,,,,7135800.0,,-7135800.0,
Hợp nhất kinh doanh,Hợp nhất kinh doanh,Hợp nhất kinh doanh,-,-,-,-,-,43.941.454.995,43.941.454.995,,,,,,43941454995.0,43941454995.0
Thay đổi quyền sở hữu trong các công ty con,Thay đổi quyền sở hữu trong các công ty con,Thay đổi quyền sở hữu trong các công ty con,-,-,-,-,24.164.484.615,(24.164.484.615),-,,,,,24164484615.0,-24164484615.0,
Tăng giảm khác,Tăng giảm khác,Tăng giảm khác,-,-,-,(27.184.000),1.138.353.324,-,1.111.169.324,,,,-27184000.0,1138353324.0,,1111169324.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.499.971.900.000,(374.324.139),40.802.559.483,12.021.402.005,392.213.804.027,651.869.181.622,4.596.504.522.998,3499971900000.0,-374324139.0,40802559483.0,12021402005.0,392213804027.0,651869181622.0,4596504522998.0
