row_label_raw,row_label_full,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
- Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,- Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,- Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,Tỉnh Bình Dương,"10,50%","10,50%",Kinh doanh hạ tầng khu công nghiệp,,0.105,0.105,
- Tổng Công ty Dược Việt Nam - CTCP,- Tổng Công ty Dược Việt Nam - CTCP,- Tổng Công ty Dược Việt Nam - CTCP,Thành phố Hà Nội,"4,80%","4,80%",Kinh doanh được phẩm,,0.048,0.048,
- Công ty Cổ phần Đầu tư Ngành nước DNP,- Công ty Cổ phần Đầu tư Ngành nước DNP,- Công ty Cổ phần Đầu tư Ngành nước DNP,Tỉnh Bắc Giang,"2,74%","2,74%",Kinh doanh ngành nước,,0.0274,0.0274,
- Công ty Cổ phần Vietferm,- Công ty Cổ phần Vietferm,- Công ty Cổ phần Vietferm,Hà Nội,"5,00%","5,00%",Sản xuất thực phẩm,,0.05,0.05,
- Công ty Cổ phần Nông lâm nghiệp Trường Thành,- Công ty Cổ phần Nông lâm nghiệp Trường Thành,- Công ty Cổ phần Nông lâm nghiệp Trường Thành,Tỉnh Đắk Nông,"19,91%","19,91%",Đầu tư nông nghiệp,,0.1991,0.1991,
