row_label_raw,row_label_full,col_0,col_1,31/12/2021 > Mã chứng khoán,31/12/2021 > Giá gốc,31/12/2021 > Giá trị hợp lý,01/01/2021 > Dự phòng,01/01/2021 > Giá gốc,01/01/2021 > Giá trị hợp lý,numeric__col_1,numeric__31/12/2021 > Mã chứng khoán,numeric__31/12/2021 > Giá gốc,numeric__31/12/2021 > Giá trị hợp lý,numeric__01/01/2021 > Dự phòng,numeric__01/01/2021 > Giá gốc,numeric__01/01/2021 > Giá trị hợp lý
,,,,,VND,VND,VND,VND,VND,,,,,,,
-,-,-,Công ty Cổ phần Tập đoàn Masan,MSN,7.591.370.000,7.695.000.000,-,-,-,,,7591370000.0,7695000000.0,,,
-,-,-,Ngân hàng Thương mại Cổ phần Á Châu,ACB,1.343.462,1.725.000,-,-,-,,,1343462.0,1725000.0,,,
-,-,-,Công ty Cổ phần FPT,FPT,42.288.571.569,41.543.100.000,(745.471.569),-,-,,,42288571569.0,41543100000.0,-745471569.0,,
-,-,-,Công ty Cổ phần Tập đoàn Hòa Phát,HPG,110.248.633.448,109.587.520.000,(661.113.448),-,-,,,110248633448.0,109587520000.0,-661113448.0,,
-,-,-,Công ty Cổ phần Chứng khoán SSI,SSI,15.731.562.000,15.540.000.000,(191.562.000),-,-,,,15731562000.0,15540000000.0,-191562000.0,,
-,-,-,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HCM,3.037.589.384,5.243.875.000,-,-,-,,,3037589384.0,5243875000.0,,,
-,-,-,Tổng Công Ty Phát Triển Đô Thị Kinh Bắc - CTCP,KBC,2.404.601.500,2.432.000.000,-,56.421.430.890,66.727.980.000,,,2404601500.0,2432000000.0,,56421430890.0,66727980000.0
-,-,-,Ngân hàng TMCP Kỹ Thương Việt Nam,TCB,24.708.323.750,23.500.000.000,(1.208.323.750),7.243.518.147,7.243.518.147,,,24708323750.0,23500000000.0,-1208323750.0,7243518147.0,7243518147.0
-,-,-,Công ty Cổ phần Đầu tư Thế giới Di động,MWG,8.865.690.227,8.969.400.000,-,-,-,,,8865690227.0,8969400000.0,,,
-,-,-,Công ty Cổ phần Nhựa Đồng Nai,DNP,56.421.430.890,72.288.645.000,-,1.385.836.600,1.837.591.200,,,56421430890.0,72288645000.0,,1385836600.0,1837591200.0
-,-,-,Công ty Cổ phần Đầu tư Alphanam,ALP,7.243.518.147,7.243.518.147,-,-,-,,,7243518147.0,7243518147.0,,,
-,-,-,Công ty Cổ phần Phân lân Nung chảy Văn,VAF,430.776,739.200,-,-,-,,,430776.0,739200.0,,,
-,-,-,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan dầu khí,PVD,1.634.807,1.956.900,-,492.076.560,321.829.200,,,1634807.0,1956900.0,,492076560.0,321829200.0
,,,,,278.544.699.960,294.047.479.247,(2.806.470.767),65.542.862.197,76.130.918.547,,,278544699960.0,294047479247.0,-2806470767.0,65542862197.0,76130918547.0
