row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thực nộptrong năm,Tăng giảm khác,Hợp nhất kinhdoanh,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm,numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__Tăng giảm khác,numeric__Hợp nhất kinhdoanh,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,-,628.079.112,96.659.247.056,96.446.354.846,-,-,-,840.971.322,,628079112.0,96659247056.0,96446354846.0,,,,840971322.0
Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,-,340.329.700,2.418.977.672,2.353.489.752,-,-,-,405.817.620,,340329700.0,2418977672.0,2353489752.0,,,,405817620.0
"Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu",97.492.840,-,1.486.778.438,1.490.295.187,-,-,104.791.182,3.781.593,97492840.0,,1486778438.0,1490295187.0,,,104791182.0,3781593.0
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,-,15.067.162.332,40.357.476.425,25.462.362.470,(1.138.353.324),-,-,28.823.922.963,,15067162332.0,40357476425.0,25462362470.0,-1138353324.0,,,28823922963.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,-,968.322.256,8.052.987.680,7.357.323.661,-,8.114.000,-,1.672.100.275,,968322256.0,8052987680.0,7357323661.0,,8114000.0,,1672100275.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,-,16.425.000,16.425.000,-,-,-,-,,,16425000.0,16425000.0,,,,
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",-,-,41.433.381,41.433.381,-,-,-,-,,,41433381.0,41433381.0,,,,
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,-,420.574.160,420.574.160,-,-,-,-,,,420574160.0,420574160.0,,,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,440.095.515,(42.490.667),387.332.293,-,-,-,10.272.555,,440095515.0,-42490667.0,387332293.0,,,,10272555.0
"Phí, lệ phí và các khoản phảinộp khác","Phí, lệ phí và các khoản phảinộp khác","Phí, lệ phí và các khoản phảinộp khác",-,99.613.716,433.453.156,533.066.872,-,-,-,-,,99613716.0,433453156.0,533066872.0,,,,
,,,97.492.840,17.543.602.631,149.844.862.301,134.508.657.622,(1.138.353.324),8.114.000,104.791.182,31.756.866.328,97492840.0,17543602631.0,149844862301.0,134508657622.0,-1138353324.0,8114000.0,104791182.0,31756866328.0
