row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Môi quan hệ_1,Môi quan hệ_2,numeric__Môi quan hệ,numeric__Môi quan hệ_1,numeric__Môi quan hệ_2
Bên liên quan,Bên liên quan,Bên liên quan,,VND,VND,,,
Ông Trần Văn Hải,Ông Trần Văn Hải,Ông Trần Văn Hải,Cổ đông,,,,,
Công ty TNHH Capella Group,Công ty TNHH Capella Group,Công ty TNHH Capella Group,Cổ đông,,,,,
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,,,,,
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,,,,,
Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty liên kết,,,,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,,,,,
Giao dịch phát sinh trong năm:,Giao dịch phát sinh trong năm:,Giao dịch phát sinh trong năm:,,,,,,
,,,Mối quan hệ,Năm 2021,Năm 2020,,,
,,,,VND,VND,,,
Nhận vốn góp hợp tác đầu tư,Giao dịch phát sinh trong năm: > Nhận vốn góp hợp tác đầu tư,Nhận vốn góp hợp tác đầu tư,,286.000.000.000,184.000.000.000,,286000000000.0,184000000000.0
Ông Trần Văn Hải,Giao dịch phát sinh trong năm: > Ông Trần Văn Hải,Ông Trần Văn Hải,Cổ đông,190.000.000.000,,,190000000000.0,
Công ty TNHH Capella Group,Giao dịch phát sinh trong năm: > Công ty TNHH Capella Group,Công ty TNHH Capella Group,Cổ đông,96.000.000.000,,,96000000000.0,
Công ty Cổ phần Phú Hữu Gia,Giao dịch phát sinh trong năm: > Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,-,184.000.000.000,,,184000000000.0
Lãi hợp tác đầu tư phải trả,Giao dịch phát sinh trong năm: > Lãi hợp tác đầu tư phải trả,Lãi hợp tác đầu tư phải trả,,10.827.967.123,10.832.569.863,,10827967123.0,10832569863.0
Công ty Cổ phần Phú Hữu Gia,Giao dịch phát sinh trong năm: > Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,10.827.967.123,10.832.569.863,,10827967123.0,10832569863.0
Cổ tức,Giao dịch phát sinh trong năm: > Cổ tức,Cổ tức,,-,20.744.712.500,,,20744712500.0
Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Giao dịch phát sinh trong năm: > Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty liên kết,-,20.744.712.500,,,20744712500.0
Tạm ứng,Giao dịch phát sinh trong năm: > Tạm ứng,Tạm ứng,,770.000.000,5.950.000.000,,770000000.0,5950000000.0
Thành viên Ban Tổng Giám đốc,Giao dịch phát sinh trong năm: > Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Bên liên quan,770.000.000,5.950.000.000,,770000000.0,5950000000.0
Bán thành phẩm,Giao dịch phát sinh trong năm: > Bán thành phẩm,Bán thành phẩm,,-,784.745.540,,,784745540.0
Công ty Cổ phần Vật liệu điện và Viễn thông Sam Cường,Giao dịch phát sinh trong năm: > Công ty Cổ phần Vật liệu điện và Viễn thông Sam Cường,Công ty Cổ phần Vật liệu điện và Viễn thông Sam Cường,Công ty liên kết,-,784.745.540,,,784745540.0
Lãi cho vay,Giao dịch phát sinh trong năm: > Lãi cho vay,Lãi cho vay,,159.798.138,-,,159798138.0,
Công ty Cổ phần Phú Hữu Gia,Giao dịch phát sinh trong năm: > Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,159.798.138,-,,159798138.0,
Chuyển tiền hợp tác đầu tư,Giao dịch phát sinh trong năm: > Chuyển tiền hợp tác đầu tư,Chuyển tiền hợp tác đầu tư,,-,104.975.000.000,,,104975000000.0
Thành viên Ban Tổng Giám đốc,Giao dịch phát sinh trong năm: > Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Bên liên quan,-,104.975.000.000,,,104975000000.0
Góp vốn,Giao dịch phát sinh trong năm: > Góp vốn,Góp vốn,,-,163.004.700.000,,,163004700000.0
Công ty Cổ phần Phú Hữu Gia,Giao dịch phát sinh trong năm: > Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,-,163.004.700.000,,,163004700000.0
Thoái vốn,Giao dịch phát sinh trong năm: > Thoái vốn,Thoái vốn,,-,62.200.000.000,,,62200000000.0
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Giao dịch phát sinh trong năm: > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,-,62.200.000.000,,,62200000000.0
Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,,,,,,
,,,Mối quan hệ,31/12/2021,01/01/2021,,,
,,,,VND,VND,,,
Phải thu khác,Số dư tại ngày kết thúc năm tài chính: > Phải thu khác,Phải thu khác,,85.055.090.946,85.195.292.808,,85055090946.0,85195292808.0
Ông Trần Việt Anh,Số dư tại ngày kết thúc năm tài chính: > Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,83.750.000.000,84.050.000.000,,83750000000.0,84050000000.0
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Số dư tại ngày kết thúc năm tài chính: > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,1.145.292.808,1.145.292.808,,1145292808.0,1145292808.0
Công ty Cổ phần Phú Hữu Gia,Số dư tại ngày kết thúc năm tài chính: > Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,159.798.138,-,,159798138.0,
Phải trả khác,Số dư tại ngày kết thúc năm tài chính: > Phải trả khác,Phải trả khác,,311.814.652.054,191.449.946.576,,311814652054.0,191449946576.0
Công ty Cổ phần Phú Hữu Gia,Số dư tại ngày kết thúc năm tài chính: > Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,5.907.419.177,191.449.946.576,,5907419177.0,191449946576.0
Công ty TNHH Capella Group,Số dư tại ngày kết thúc năm tài chính: > Công ty TNHH Capella Group,Công ty TNHH Capella Group,Cổ đông,96.000.000.000,-,,96000000000.0,
Ông Trần Văn Hải,Số dư tại ngày kết thúc năm tài chính: > Ông Trần Văn Hải,Ông Trần Văn Hải,Cổ đông,209.907.232.877,-,,209907232877.0,
