row_label_raw,row_label_full,Diễn giải,Giá trị ghi số tại thời điểm đạt được quyền kiểm soát,Các điều chỉnh theo giá trị hợp lý,Giá trị hợp lý tại thời điểm đạt được quyền kiểm soát (*),numeric__Giá trị ghi số tại thời điểm đạt được quyền kiểm soát,numeric__Các điều chỉnh theo giá trị hợp lý,numeric__Giá trị hợp lý tại thời điểm đạt được quyền kiểm soát (*)
Tài sản,Tài sản,Tài sản,,,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,73.284.263,-,73.284.263,73284263.0,,73284263.0
Các khoản phải thu,Tài sản > Các khoản phải thu,Các khoản phải thu,21.549.663.186,-,21.549.663.186,21549663186.0,,21549663186.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,342.103.096.734,-,342.103.096.734,342103096734.0,,342103096734.0
Cộng tài sản,Tài sản > Cộng tài sản,Cộng tài sản,363.726.044.183,-,363.726.044.183,363726044183.0,,363726044183.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,267.050.932.916,-,267.050.932.916,267050932916.0,,267050932916.0
Cộng nợ phải trả,Nợ phải trả > Cộng nợ phải trả,Cộng nợ phải trả,267.050.932.916,-,267.050.932.916,267050932916.0,,267050932916.0
Tổng giá trị thuần,Nợ phải trả > Tổng giá trị thuần,Tổng giá trị thuần,96.675.111.267,,96.675.111.267,96675111267.0,,96675111267.0
Lợi ích của cổ đông không kiểm soát,Nợ phải trả > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,,41.956.998.290,,,41956998290.0
"Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (56,6%)","Nợ phải trả > Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (56,6%)","Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (56,6%)",,,54.718.112.977,,,54718112977.0
Tổng giá phí của khoản đầu tư này,Nợ phải trả > Tổng giá phí của khoản đầu tư này,Tổng giá phí của khoản đầu tư này,,,113.200.000.000,,,113200000000.0
Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,Nợ phải trả > Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,,,58.481.887.023,,,58481887023.0
