row_label_raw,row_label_full,a),Thuế thu nhập hoãn lại phải trả,31/12/2021,01/01/2021,numeric__Thuế thu nhập hoãn lại phải trả,numeric__31/12/2021,numeric__01/01/2021
,,,,VND,VND,,,
-,-,-,Thuế suất thuế TNDN sử dụng đề xác định giá trị thuế thu nhập hoãn lại phải trả,20%,20%,,0.2,0.2
-,-,-,Thuế thu nhập hoãn lại phải trả phát sinh từ các khoản chênh lệch tạm thời chịu thuế,36.798.599.422,29.703.517.011,,36798599422.0,29703517011.0
,,,Thuế thu nhập hoãn lại phải trả,36.798.599.422,29.703.517.011,,36798599422.0,29703517011.0
b),b),b),Chi phí thuế TNDN hoãn lại,Năm 2021,Năm 2020,,,
,,,,VND,VND,,,
-,b) > -,-,Chi phí thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời phải chịu thuế,7.428.159.633,13.373.535.214,,7428159633.0,13373535214.0
-,b) > -,-,Chi phí thuế thu nhập doanh nghiệp hoãn lại phát sinh từ việc hoàn nhập tài sản thuế thu nhập hoãn lại,759.145.765,725.326.900,,759145765.0,725326900.0
-,b) > -,-,Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ các khoản chênh lệch tạm thời được khấu trừ,(817.845.365),(403.385.419),,-817845365.0,-403385419.0
-,b) > -,-,Thu nhập thuế thu nhập doanh nghiệp hoãn lại phát sinh từ việc hoàn nhập thuế thu nhập hoãn lại phải trả,(274.377.622),(9.064.341.155),,-274377622.0,-9064341155.0
,,,,7.095.082.411,4.631.135.540,,7095082411.0,4631135540.0
