row_label_raw,row_label_full,Diễn giải,Giá trị ghi số tạithời điểm đạt đượcquyền kiểm soát,Các điều chỉnh theogiá trị hợp lý,Giá trị hợp lý tạithời điểm đạt đượcquyền kiểm soát (*),numeric__Giá trị ghi số tạithời điểm đạt đượcquyền kiểm soát,numeric__Các điều chỉnh theogiá trị hợp lý,numeric__Giá trị hợp lý tạithời điểm đạt đượcquyền kiểm soát (*)
Tài sản,Tài sản,Tài sản,,,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,33.336.217.981,-,33.336.217.981,33336217981.0,,33336217981.0
Các khoản phải thu,Tài sản > Các khoản phải thu,Các khoản phải thu,187.722.197.919,-,187.722.197.919,187722197919.0,,187722197919.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,2.956.808.363,-,2.956.808.363,2956808363.0,,2956808363.0
Tài sản cố định hữu hình (thuẩn),Tài sản > Tài sản cố định hữu hình (thuẩn),Tài sản cố định hữu hình (thuẩn),18.350.303,-,18.350.303,18350303.0,,18350303.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,90.888.208.087,-,90.888.208.087,90888208087.0,,90888208087.0
Đầu tư tài chính dài hạn,Tài sản > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,169.800.000.000,-,169.800.000.000,169800000000.0,,169800000000.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,21.303.351.614,-,21.303.351.614,21303351614.0,,21303351614.0
Cộng tài sản,Tài sản > Cộng tài sản,Cộng tài sản,506.025.134.267,-,506.025.134.267,506025134267.0,,506025134267.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,292.589.702.500,-,292.589.702.500,292589702500.0,,292589702500.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,75.182.061.651,-,75.182.061.651,75182061651.0,,75182061651.0
Cộng nợ phải trả,Nợ phải trả > Cộng nợ phải trả,Cộng nợ phải trả,367.771.764.151,-,367.771.764.151,367771764151.0,,367771764151.0
Tổng giá trị thuần,Nợ phải trả > Tổng giá trị thuần,Tổng giá trị thuần,138.253.370.116,,138.253.370.116,138253370116.0,,138253370116.0
Lợi ích của cổ đông không kiểm soát,Nợ phải trả > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,,46.084.456.705,,,46084456705.0
"Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (66,67%)","Nợ phải trả > Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (66,67%)","Tổng giá trị tài sản thuần tương ứng với lợi ích của Công ty (66,67%)",,,92.168.913.411,,,92168913411.0
Tổng giá phí của khoản đầu tư này,Nợ phải trả > Tổng giá phí của khoản đầu tư này,Tổng giá phí của khoản đầu tư này,,,100.000.000.000,,,100000000000.0
Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,Nợ phải trả > Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,,,7.831.086.589,,,7831086589.0
