row_label_raw,row_label_full,col_0,Công ty Cổ phânCapella Quảng Nam,Công ty Cổ phânĐầu tư và phát triểnKhu Công NghiệpNhân Hòa,Tong cộng,numeric__Công ty Cổ phânCapella Quảng Nam,numeric__Công ty Cổ phânĐầu tư và phát triểnKhu Công NghiệpNhân Hòa,numeric__Tong cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
- Số dư đầu năm,- Số dư đầu năm,- Số dư đầu năm,-,-,-,,,
- Giá trị lợi thế thương mại phát sinh từ việc mua công ty con trong năm,- Số dư đầu năm > - Giá trị lợi thế thương mại phát sinh từ việc mua công ty con trong năm,- Giá trị lợi thế thương mại phát sinh từ việc mua công ty con trong năm,7.831.086.589,58.481.887.023,66.312.973.612,7831086589.0,58481887023.0,66312973612.0
- Số dư cuối năm,- Số dư đầu năm > - Số dư cuối năm,- Số dư cuối năm,7.831.086.589,58.481.887.023,66.312.973.612,7831086589.0,58481887023.0,66312973612.0
Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,,,
- Số dư đầu năm,- Số dư đầu năm,- Số dư đầu năm,-,-,-,,,
- Số phân bổ trong năm,- Số dư đầu năm > - Số phân bổ trong năm,- Số phân bổ trong năm,783.108.659,4.386.141.527,5.169.250.186,783108659.0,4386141527.0,5169250186.0
- Số dư cuối năm,- Số dư đầu năm > - Số dư cuối năm,- Số dư cuối năm,783.108.659,4.386.141.527,5.169.250.186,783108659.0,4386141527.0,5169250186.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
- Số dư đầu năm,- Số dư đầu năm,- Số dư đầu năm,-,-,-,,,
- Số dư cuối năm,- Số dư đầu năm > - Số dư cuối năm,- Số dư cuối năm,7.047.977.930,54.095.745.496,61.143.723.426,7047977930.0,54095745496.0,61143723426.0
