row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,"Máy móc, thiết bị",
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,491.365.782.262,491365782262.0
- Thuê thêm trong năm,Nguyên giá: > - Thuê thêm trong năm,- Thuê thêm trong năm,138.604.086.544,138604086544.0
- Phân loại sang TSCĐ hữu hình,Nguyên giá: > - Phân loại sang TSCĐ hữu hình,- Phân loại sang TSCĐ hữu hình,(205.092.051.591),-205092051591.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,424.877.817.215,424877817215.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,147.158.450.149,147158450149.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,43.997.855.689,43997855689.0
- Phân loại sang TSCĐ hữu hình,Giá trị khấu hao lũy kế: > - Phân loại sang TSCĐ hữu hình,- Phân loại sang TSCĐ hữu hình,(83.874.566.327),-83874566327.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,107.281.739.511,107281739511.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,344.207.332.113,344207332113.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,317.596.077.704,317596077704.0
