row_label_raw,row_label_full,STT,Tên đơn vị,Số cuối năm > Giá trị (VND),Số cuối năm > Dự phòng (VND),Số cuối năm > Tỷ lệ vốn góp thực tế,Số cuối năm > Tỷ lệ biểu quyết,Số đầu năm > Giá trị (VND),Số đầu năm > Dự phòng (VND),Số đầu năm > Tỷ lệ vốn góp thực tế,Số đầu năm > Tỷ lệ biểu quyết,numeric__Tên đơn vị,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Dự phòng (VND),numeric__Số cuối năm > Tỷ lệ vốn góp thực tế,numeric__Số cuối năm > Tỷ lệ biểu quyết,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Dự phòng (VND),numeric__Số đầu năm > Tỷ lệ vốn góp thực tế,numeric__Số đầu năm > Tỷ lệ biểu quyết
1,1,1,Công ty TNHH Dầu thực vật Dabaco,280.015.514.372,-,100%,100%,280.015.514.372,-,100%,100%,,280015514372.0,,1.0,1.0,280015514372.0,,1.0,1.0
2,2,2,Công ty TNHH Du lịch và Khách sạn Le Indochina,183.092.545.909,(41.376.726.025),100%,100%,179.369.777.041,(32.481.107.925),100%,100%,,183092545909.0,-41376726025.0,1.0,1.0,179369777041.0,-32481107925.0,1.0,1.0
3,3,3,Công ty TNHH Lợn giống hạt nhân Dabaco,121.312.447.573,(9.025.825.572),100%,100%,121.312.447.573,-,100%,100%,,121312447573.0,-9025825572.0,1.0,1.0,121312447573.0,,1.0,1.0
4,4,4,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,118.000.000.000,(5.169.641.290),100%,100%,118.000.000.000,(80.632.158.409),100%,100%,,118000000000.0,-5169641290.0,1.0,1.0,118000000000.0,-80632158409.0,1.0,1.0
5,5,5,Công ty TNHH Xây dựng Đường H2,116.649.327.868,-,100%,100%,-,-,-,-,,116649327868.0,,1.0,1.0,,,,
6,6,6,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,100.000.000.000,-,100%,100%,100.000.000.000,(3.145.247.107),100%,100%,,100000000000.0,,1.0,1.0,100000000000.0,-3145247107.0,1.0,1.0
7,7,7,Công ty TNHH MTV Thương mại Hiệp Quang,71.283.160.000,-,100%,100%,71.283.160.000,-,100%,100%,,71283160000.0,,1.0,1.0,71283160000.0,,1.0,1.0
8,8,8,Công ty TNHH Dabaco Bình Phước,51.498.269.770,(51.498.269.770),100%,100%,-,-,-,-,,51498269770.0,-51498269770.0,1.0,1.0,,,,
9,9,9,Công ty TNHH Nutreco,50.190.568.966,-,100%,100%,50.190.568.966,-,100%,100%,,50190568966.0,,1.0,1.0,50190568966.0,,1.0,1.0
10,10,10,Công ty TNHH Lợn giống Dabaco Lương Tài,50.000.000.000,(11.096.471.752),100%,100%,50.000.000.000,-,100%,100%,,50000000000.0,-11096471752.0,1.0,1.0,50000000000.0,,1.0,1.0
11,11,11,Công ty TNHH Lợn giống Phú Thọ,50.000.000.000,(50.000.000.000),100%,100%,50.000.000.000,-,100%,100%,,50000000000.0,-50000000000.0,1.0,1.0,50000000000.0,,1.0,1.0
12,12,12,Công ty TNHH Dabaco Tuyên Quang,50.000.000.000,(9.458.706.294),100%,100%,50.000.000.000,-,100%,100%,,50000000000.0,-9458706294.0,1.0,1.0,50000000000.0,,1.0,1.0
13,13,13,Công ty TNHH Lợn giống Dabaco Hà Nam,40.000.000.000,(40.000.000.000),100%,100%,40.000.000.000,(22.488.385.556),100%,100%,,40000000000.0,-40000000000.0,1.0,1.0,40000000000.0,-22488385556.0,1.0,1.0
14,14,14,Công ty TNHH Lợn giống Hải Phòng,35.000.000.000,(35.000.000.000),100%,100%,35.000.000.000,-,100%,100%,,35000000000.0,-35000000000.0,1.0,1.0,35000000000.0,,1.0,1.0
15,15,15,Công ty TNHH MTV Lợn giống Lạc Vệ,30.551.441.896,(30.551.442.373),100%,100%,30.551.441.896,-,100%,100%,,30551441896.0,-30551442373.0,1.0,1.0,30551441896.0,,1.0,1.0
16,16,16,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,30.000.000.000,(30.000.000.000),100%,100%,30.000.000.000,-,100%,100%,,30000000000.0,-30000000000.0,1.0,1.0,30000000000.0,,1.0,1.0
17,17,17,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,30.000.000.000,-,100%,100%,30.000.000.000,-,100%,100%,,30000000000.0,,1.0,1.0,30000000000.0,,1.0,1.0
18,18,18,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,30.000.000.000,-,100%,100%,81.498.269.770,(81.498.269.770),100%,100%,,30000000000.0,,1.0,1.0,81498269770.0,-81498269770.0,1.0,1.0
19,19,19,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,25.678.384.595,(25.678.384.595),100%,100%,25.678.384.595,(25.678.384.595),100%,100%,,25678384595.0,-25678384595.0,1.0,1.0,25678384595.0,-25678384595.0,1.0,1.0
20,20,20,Công ty TNHH MTV Gà giống Dabaco,10.000.000.000,(10.000.000.000),100%,100%,10.000.000.000,(10.000.000.000),100%,100%,,10000000000.0,-10000000000.0,1.0,1.0,10000000000.0,-10000000000.0,1.0,1.0
,,,TỔNG CỘNG,1.473.271.660.949,(348.855.467.671),,,1.352.899.564.213,(255.923.553.362),,,,1473271660949.0,-348855467671.0,,,1352899564213.0,-255923553362.0,,
