row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,,,,
Công ty TNHH Dabaco Bình Phước,Phải thu khách hàng dài hạn > Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty con,Bán hàng hóa,540.786.425.257,579.807.620.692,,,540786425257.0,579807620692.0
Công ty TNHH Lợn giống Dabaco Phú Thọ,Phải thu khách hàng dài hạn > Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty con,Bán hàng hóa,208.556.510.387,-,,,208556510387.0,
Công ty TNHH Dabaco Tuyên Quang,Phải thu khách hàng dài hạn > Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,Bán hàng hóa,148.923.318.380,145.692.438.000,,,148923318380.0,145692438000.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Phải thu khách hàng dài hạn > Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,Bán hàng hóa,143.444.535.057,-,,,143444535057.0,
Công ty TNHH MTV Thương mại Hiệp Quang,Phải thu khách hàng dài hạn > Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,Bán hàng hóa,118.338.397.654,121.602.338.826,,,118338397654.0,121602338826.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Phải thu khách hàng dài hạn > Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,Bán hàng hóa,88.405.221.878,-,,,88405221878.0,
Công ty Đầu tư Xây dựng Hạ tầng,Phải thu khách hàng dài hạn > Công ty Đầu tư Xây dựng Hạ tầng,Công ty Đầu tư Xây dựng Hạ tầng,Công ty con,Bán hàng hóa,57.663.789.372,-,,,57663789372.0,
Công ty TNHH Lợn giống Dabaco Hải Phòng,Phải thu khách hàng dài hạn > Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty con,Bán hàng hóa,54.575.715.148,-,,,54575715148.0,
Công ty TNHH Dịch vụ thương mại Bắc Ninh,Phải thu khách hàng dài hạn > Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty con,Bán hàng hóa,50.086.613.188,114.280.961.764,,,50086613188.0,114280961764.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Phải thu khách hàng dài hạn > Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,Bán hàng hóa,43.341.972.174,-,,,43341972174.0,
Công ty TNHH MTV Gà giống Dabaco,Phải thu khách hàng dài hạn > Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,Bán hàng hóa,16.509.560.589,50.654.000.000,,,16509560589.0,50654000000.0
,,,,,1.470.632.059.084,1.012.037.359.282,,,1470632059084.0,1012037359282.0
Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),Phải thu ngắn hạn khác (Thuyết minh số 7),,,,
Công ty TNHH Nồng nghiệp Công nghệ cao Dabaco,Phải thu ngắn hạn khác (Thuyết minh số 7) > Công ty TNHH Nồng nghiệp Công nghệ cao Dabaco,Công ty TNHH Nồng nghiệp Công nghệ cao Dabaco,Công ty con,Tài trợ vốn,71.415.454.323,-,,,71415454323.0,
