row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 16.1),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 16.1),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 16.1),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 16.1),Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 16.1),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 16.1),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 16.1),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 16.1),numeric__Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 16.1)
Công ty Cổ phầnTranseco,Công ty Cổ phầnTranseco,Công ty Cổ phầnTranseco,Công ty liên kết,Mua dịch vụ,6.425.254.184,4.902.246.483,,,6425254184.0,4902246483.0
,,,,,6.425.254.184,4.902.246.483,,,6425254184.0,4902246483.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),,,,
Công ty TNHH Cụm Công nghiệp Khúc Xuyên,Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2) > Công ty TNHH Cụm Công nghiệp Khúc Xuyên,Công ty TNHH Cụm Công nghiệp Khúc Xuyên,Công ty con,Trả trước mua hàng hóa và dịch vụ,26.875.099.623,74.933.614.262,,,26875099623.0,74933614262.0
Công ty TNHH Du lịch và Khách sạn Le Indochina,Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2) > Công ty TNHH Du lịch và Khách sạn Le Indochina,Công ty TNHH Du lịch và Khách sạn Le Indochina,Công ty con,Trả trước mua hàng hóa và dịch vụ,3.651.690.100,8.709.811.206,,,3651690100.0,8709811206.0
Công ty TNHH Nutreco,Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2) > Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,Trả trước mua hàng hóa và dịch vụ,-,45.979.223.545,,,,45979223545.0
,,,,,30.526.789.723,129.622.649.013,,,30526789723.0,129622649013.0
