row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.191.698.108.229,1.024.697.506.603,152.044.704.534,7.319.712.077,2.375.760.031.443,1191698108229.0,1024697506603.0,152044704534.0,7319712077.0,2375760031443.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,1.315.706.000,5.829.199.836,8.973.295.001,-,16.118.200.837,1315706000.0,5829199836.0,8973295001.0,,16118200837.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,96.798.685.019,20.627.029.236,2.612.000.000,655.211.222,120.692.925.477,96798685019.0,20627029236.0,2612000000.0,655211222.0,120692925477.0
- Phân loại từ tài sản thuê tài chính,Nguyên giá: > - Phân loại từ tài sản thuê tài chính,- Phân loại từ tài sản thuê tài chính,-,205.092.051.591,-,-,205.092.051.591,,205092051591.0,,,205092051591.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.270.343.194),(341.552.150.605),(627.000.000),(149.927.455),(343.599.421.254),-1270343194.0,-341552150605.0,-627000000.0,-149927455.0,-343599421254.0
- Nhận điều chuyển từ công ty con,Nguyên giá: > - Nhận điều chuyển từ công ty con,- Nhận điều chuyển từ công ty con,21.898.892.569,-,-,-,21.898.892.569,21898892569.0,,,,21898892569.0
- Tài sản điều chuyển cho công ty con (*),Nguyên giá: > - Tài sản điều chuyển cho công ty con (*),- Tài sản điều chuyển cho công ty con (*),(67.218.921.650),(15.652.683.916),(189.500.000),(655.211.222),(83.716.316.788),-67218921650.0,-15652683916.0,-189500000.0,-655211222.0,-83716316788.0
- Góp vốn vào công ty con (**),Nguyên giá: > - Góp vốn vào công ty con (**),- Góp vốn vào công ty con (**),(2.888.508.588),(834.260.280),-,-,(3.722.768.868),-2888508588.0,-834260280.0,,,-3722768868.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.240.333.618.385,898.206.692.465,162.813.499.535,7.169.784.622,2.308.523.595.007,1240333618385.0,898206692465.0,162813499535.0,7169784622.0,2308523595007.0
