row_label_raw,row_label_full,Trong đó,Trong đó_1,numeric__Trong đó_1
Vay dài hạn đến,Vay dài hạn đến,Vay dài hạn đến,Vay dài hạn đến,
hạn trả,Vay dài hạn đến > hạn trả,hạn trả,291.959.798.872,291959798872.0
Vay dài hạn,Vay dài hạn đến > Vay dài hạn,Vay dài hạn,595.894.177.313,595894177313.0
