row_label_raw,row_label_full,Tên đơn vị,Tên đơn vị_1,Số cuối năm > Giá trị(VND),Số cuối năm > Dự phòng (VND),Số cuối năm > Tỷ lệvốn nấmgiữ,Số cuối năm > Tỷ lệquyềnbiểuquyết,Số đầu năm > Giá trị(VND),Số đầu năm > Dự phòng (VND),Số đầu năm > Tỷ lệvốn nấmgiữ,Số đầu năm > Tỷ lệquyềnbiểuquyết,numeric__Tên đơn vị_1,numeric__Số cuối năm > Giá trị(VND),numeric__Số cuối năm > Dự phòng (VND),numeric__Số cuối năm > Tỷ lệvốn nấmgiữ,numeric__Số cuối năm > Tỷ lệquyềnbiểuquyết,numeric__Số đầu năm > Giá trị(VND),numeric__Số đầu năm > Dự phòng (VND),numeric__Số đầu năm > Tỷ lệvốn nấmgiữ,numeric__Số đầu năm > Tỷ lệquyềnbiểuquyết
Công ty TNHH Chế biến thực phẩm Dabaco,Công ty TNHH Chế biến thực phẩm Dabaco,Công ty TNHH Chế biến thực phẩm Dabaco,(i),114.000.000.000,(15.429.795.329),"49,56%","49,56%",105.000.000.000,(12.491.648.638),"45,65%","45,65%",,114000000000.0,-15429795329.0,0.49560000000000004,0.49560000000000004,105000000000.0,-12491648638.0,0.45649999999999996,0.45649999999999996
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,(ii),20.000.000.000,-,"33,33%","33,33%",20.000.000.000,-,"33,33%","33,33%",,20000000000.0,,0.3333,0.3333,20000000000.0,,0.3333,0.3333
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,134.000.000.000,(15.429.795.329),,,125.000.000.000,(12.491.648.638),,,,134000000000.0,-15429795329.0,,,125000000000.0,-12491648638.0,,
