row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,1.140.440.380.012,825.035.502.180,1140440380012.0,825035502180.0
- Enerfo Pte Ltd (Singapore),- Enerfo Pte Ltd (Singapore),- Enerfo Pte Ltd (Singapore),630.235.409.400,656.490.497.314,630235409400.0,656490497314.0
- ETC Argo (PTY) Ltd,- ETC Argo (PTY) Ltd,- ETC Argo (PTY) Ltd,417.770.038.350,-,417770038350.0,
- Bunge Asia Pte Ltd,- Bunge Asia Pte Ltd,- Bunge Asia Pte Ltd,-,95.237.504.884,,95237504884.0
- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,92.434.932.262,73.307.499.982,92434932262.0,73307499982.0
Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,635.325.623.119,207.923.123.052,635325623119.0,207923123052.0
- Công ty Cổ phần Đầu tư Asia Goldman,- Công ty Cổ phần Đầu tư Asia Goldman,- Công ty Cổ phần Đầu tư Asia Goldman,211.519.892.060,5.449.168.200,211519892060.0,5449168200.0
- Các nhà cung cấp trong nước khác,- Các nhà cung cấp trong nước khác,- Các nhà cung cấp trong nước khác,423.805.731.059,202.473.954.852,423805731059.0,202473954852.0
Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 30),Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 30),Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 30),6.425.254.184,4.902.246.483,6425254184.0,4902246483.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.782.191.257.315,1.037.860.871.715,1782191257315.0,1037860871715.0
