row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Nội dung nghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Nội dung nghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1)
Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty con,Bán hàng hóa,795.203.528.687,588.023.842.727,,,795203528687.0,588023842727.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,Bán hàng hóa,550.161.656.119,417.278.648.287,,,550161656119.0,417278648287.0
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty con,Bán hàng hóa,409.141.753.040,398.187.524.000,,,409141753040.0,398187524000.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,Bán hàng hóa,186.659.123.899,162.656.566.383,,,186659123899.0,162656566383.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,Bán hàng hóa,180.217.602.913,180.597.103.887,,,180217602913.0,180597103887.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,Bán hàng hóa,150.834.641.339,208.848.901.489,,,150834641339.0,208848901489.0
Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty con,Bán hàng hóa,119.504.061.548,92.009.614.771,,,119504061548.0,92009614771.0
Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty con,Bán hàng hóa,80.671.746.208,73.797.903.253,,,80671746208.0,73797903253.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,Bán hàng hóa,98.845.010.569,204.642.189.117,,,98845010569.0,204642189117.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,Bán hàng hóa,21.031.529.120,8.636.458.690,,,21031529120.0,8636458690.0
Công ty TNHH Nuterco,Công ty TNHH Nuterco,Công ty TNHH Nuterco,Công ty con,Bán hàng hóa,63.902.153.922,-,,,63902153922.0,
Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty con,Bán hàng hóa,53.188.100.357,115.226.157.176,,,53188100357.0,115226157176.0
Công ty TNHH Lợn Giống Dabaco Phú Thọ,Công ty TNHH Lợn Giống Dabaco Phú Thọ,Công ty TNHH Lợn Giống Dabaco Phú Thọ,Công ty con,Bán hàng hóa,45.559.858.997,200.409.917.843,,,45559858997.0,200409917843.0
