row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số kê khai trong năm,Đơn vị tính: VND > Số đã cán trừ trong năm,Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số kê khai trong năm,numeric__Đơn vị tính: VND > Số đã cán trừ trong năm,numeric__Đơn vị tính: VND > Số cuối năm
Phải thu,Phải thu,Phải thu,,,,,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,17.011.263.540,48.467.538.095,(36.092.476.211),29.386.325.424,17011263540.0,48467538095.0,-36092476211.0,29386325424.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,17.011.263.540,48.467.538.095,(36.092.476.211),29.386.325.424,17011263540.0,48467538095.0,-36092476211.0,29386325424.0
