row_label_raw,row_label_full,Các khoản nợ thuê tài chính,Số cuối năm (VND) > 272.595.590.819,Kỳ hạn trả gốc và lãi > Kỳ hạn khoản nợ thuê tài chính từ 5 đến 12 năm. Gốc vay được trả lần cuối trong giai đoạn từ tháng 7 năm 2023 đến tháng 6 năm 2025. Lãi vay trả hàng tháng.,"Lãi suất năm > 7,5%-10,5%",numeric__Số cuối năm (VND) > 272.595.590.819,numeric__Kỳ hạn trả gốc và lãi > Kỳ hạn khoản nợ thuê tài chính từ 5 đến 12 năm. Gốc vay được trả lần cuối trong giai đoạn từ tháng 7 năm 2023 đến tháng 6 năm 2025. Lãi vay trả hàng tháng.,"numeric__Lãi suất năm > 7,5%-10,5%"
Tổng cộng,Tổng cộng,Tổng cộng,272.595.590.819,,,272595590819.0,,
Trong đó:Nợ dài hạn đến hạn trảNợ dài hạn,Trong đó:Nợ dài hạn đến hạn trảNợ dài hạn,Trong đó:Nợ dài hạn đến hạn trảNợ dài hạn,67.842.556.760204.753.034.059,,,6.784255676020475e+22,,
