row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Bán hàng,Mua hàng,Chi phí sử dụng tài sản,Lãi vay phân bổ,Lợi nhuận được chia,numeric__Mối quan hệ,numeric__Bán hàng,numeric__Mua hàng,numeric__Chi phí sử dụng tài sản,numeric__Lãi vay phân bổ,numeric__Lợi nhuận được chia
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,216.607.998.372,-,34.144.439.411,569.140.774,-,,216607998372.0,,34144439411.0,569140774.0,
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,275.734.562.583,-,100.937.499,-,46.433.898.018,,275734562583.0,,100937499.0,,46433898018.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty con,51.682.017.196,-,312.800.004,-,14.158.973.409,,51682017196.0,,312800004.0,,14158973409.0
Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty con,251.536.990.300,-,21.851.818.718,268.337.341,-,,251536990300.0,,21851818718.0,268337341.0,
Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty con,984.345.761.535,-,-,-,-,,984345761535.0,,,,
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,37.455.806.094,2.624.465.855,12.857.287.644,7.728.246.603,-,,37455806094.0,2624465855.0,12857287644.0,7728246603.0,
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,1.754.430.430.136,-,21.049.696.365,7.181.472.602,13.344.822.134,,1754430430136.0,,21049696365.0,7181472602.0,13344822134.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,54.742.793.471,-,-,-,,,54742793471.0,,,,
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,110.079.635,59.498.798.113,-,2.787.071.597,20.155.051.404,,110079635.0,59498798113.0,,2787071597.0,20155051404.0
Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty con,188.515.879,115.437.745.747,2.336.210.628,410.995.191,4.703.035.219,,188515879.0,115437745747.0,2336210628.0,410995191.0,4703035219.0
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,-,-,1.221.146.196,-,,,,,1221146196.0,,
Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty con,65.366.473.472,-,5.563.610.904,-,22.403.031.370,,65366473472.0,,5563610904.0,,22403031370.0
Công ty TNHH Du lịch và Khách sạn Le Indochina,Công ty TNHH Du lịch và Khách sạn Le Indochina,Công ty TNHH Du lịch và Khách sạn Le Indochina,Công ty con,-,-,1.435.312.824,-,-,,,,1435312824.0,,
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty con,906.312.095.026,-,4.981.008.740,419.184.837,-,,906312095026.0,,4981008740.0,419184837.0,
Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty con,36.507.928.232,-,21.880.065.060,1.413.704.386,16.368.924.068,,36507928232.0,,21880065060.0,1413704386.0,16368924068.0
Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty con,66.189.657.033,-,424.284.852,-,12.239.865.328,,66189657033.0,,424284852.0,,12239865328.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,12.395.070.430,-,,8.072.987.620,69.434.555.831,,12395070430.0,,,8072987620.0,69434555831.0
Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty con,2.751.957.085.180,1.175.103.271.312,9.778.541.292,14.448.036.708,17.291.714.919,,2751957085180.0,1175103271312.0,9778541292.0,14448036708.0,17291714919.0
Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty con,54.924.993.954,-,6.774.400.332,13.292.565.934,-,,54924993954.0,,6774400332.0,13292565934.0,
Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty con,6.873.842.955,-,-,2.737.415.504,-,,6873842955.0,,,2737415504.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.527.362.101.483,1.352.664.281.027,144.711.560.469,59.329.159.097,236.533.871.700,,7527362101483.0,1352664281027.0,144711560469.0,59329159097.0,236533871700.0
