row_label_raw,row_label_full,Số đầu năm > - Trích lập trong năm (Thuyết minh số 22.1),Năm nay > 89.688.819.882 > 47.490.604.000,Đơn vị tính: VND > Năm trước > 22.087.755.882 > 113.546.424.000,numeric__Năm nay > 89.688.819.882 > 47.490.604.000,numeric__Đơn vị tính: VND > Năm trước > 22.087.755.882 > 113.546.424.000
- Tăng khác,- Tăng khác,- Tăng khác,-,115.236.000,,115236000.0
- Sử dụng trong năm,- Sử dụng trong năm,- Sử dụng trong năm,(41.663.214.000),(46.060.596.000),-41663214000.0,-46060596000.0
Số cuối năm,Số cuối năm,Số cuối năm,95.516.209.882,89.688.819.882,95516209882.0,89688819882.0
