row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số phát sinh trong năm > Phát sinh tăng,Số phát sinh trong năm > Phát sinh giảm,Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Thuyết minh,numeric__Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số phát sinh trong năm > Phát sinh tăng,numeric__Số phát sinh trong năm > Phát sinh giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ)
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,
Vay ngắn hạn ngân hàng,Vay ngắn hạn > Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,20.1,1.512.486.606.419,7.834.280.294.257,(6.583.649.123.335),2.763.117.777.341,201.0,1512486606419.0,7834280294257.0,-6583649123335.0,2763117777341.0
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,20.2,348.770.561.557,664.993.219.477,(721.803.982.162),291.959.798.872,202.0,348770561557.0,664993219477.0,-721803982162.0,291959798872.0
Nợ thuê tài chính dài hạn đến hạn trả,Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,20.3,58.975.615.918,116.118.888.158,(107.251.947.316),67.842.556.760,203.0,58975615918.0,116118888158.0,-107251947316.0,67842556760.0
Vay dài hạn đến hạn trả từ Quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,Vay ngắn hạn > Vay dài hạn đến hạn trả từ Quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,Vay dài hạn đến hạn trả từ Quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,,94.000.000.000,-,(94.000.000.000),-,,94000000000.0,,-94000000000.0,
Trái phiếu đến hạn trả,Vay ngắn hạn > Trái phiếu đến hạn trả,Trái phiếu đến hạn trả,20.4,100.000.000.000,150.000.000.000,(100.000.000.000),150.000.000.000,204.0,100000000000.0,150000000000.0,-100000000000.0,150000000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,2.114.232.783.894,8.765.392.401.892,(7.606.705.052.813),3.272.920.132.973,,2114232783894.0,8765392401892.0,-7606705052813.0,3272920132973.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,20.2,445.291.976.185,815.595.420.605,(664.993.219.477),595.894.177.313,202.0,445291976185.0,815595420605.0,-664993219477.0,595894177313.0
Nợ thuê tài chính,Vay dài hạn > Nợ thuê tài chính,Nợ thuê tài chính,20.3,61.584.689.499,259.287.232.718,(116.118.888.158),204.753.034.059,203.0,61584689499.0,259287232718.0,-116118888158.0,204753034059.0
Trái phiếu doanh nghiệp,Vay dài hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,20.4,150.000.000.000,-,(150.000.000.000),-,204.0,150000000000.0,,-150000000000.0,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,656.876.665.684,1.074.882.653.323,(931.112.107.635),800.647.211.372,,656876665684.0,1074882653323.0,-931112107635.0,800647211372.0
