row_label_raw,row_label_full,Giao dịch phát sinh trong năm,2025 > Triệu VND > Giá trị giao dịch,2024 > Triệu VND > Giá trị giao dịch,numeric__2025 > Triệu VND > Giá trị giao dịch,numeric__2024 > Triệu VND > Giá trị giao dịch
Các Thành viên của Ban lãnh đạo Tập đoàn,Các Thành viên của Ban lãnh đạo Tập đoàn,Các Thành viên của Ban lãnh đạo Tập đoàn,Các Thành viên của Ban lãnh đạo Tập đoàn,Các Thành viên của Ban lãnh đạo Tập đoàn,,
Thu nhập lãi cho vay,Các Thành viên của Ban lãnh đạo Tập đoàn > Thu nhập lãi cho vay,Thu nhập lãi cho vay,3.618,2.654,3618.0,2654.0
Chi phí lãi tiền gửi,Các Thành viên của Ban lãnh đạo Tập đoàn > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(12.978),(12.087),-12978.0,-12087.0
Thu nhập từ hoạt động dịch vụ,Các Thành viên của Ban lãnh đạo Tập đoàn > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,58,62,58.0,62.0
Thu nhập từ hoạt động khác,Các Thành viên của Ban lãnh đạo Tập đoàn > Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,909,-,909.0,
Chi phí từ hoạt động khác,Các Thành viên của Ban lãnh đạo Tập đoàn > Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,(7.999),-,-7999.0,
Thù lao sau thuế của Thành viên Hội đồng Quản trị,Các Thành viên của Ban lãnh đạo Tập đoàn > Thù lao sau thuế của Thành viên Hội đồng Quản trị,Thù lao sau thuế của Thành viên Hội đồng Quản trị,(60.258),(53.129),-60258.0,-53129.0
Thù lao sau thuế của Thành viên Ban Kiểm soát,Các Thành viên của Ban lãnh đạo Tập đoàn > Thù lao sau thuế của Thành viên Ban Kiểm soát,Thù lao sau thuế của Thành viên Ban Kiểm soát,(19.836),(17.340),-19836.0,-17340.0
Thu nhập sau thuế của Thành viên Ban Tổng Giám đốc,Các Thành viên của Ban lãnh đạo Tập đoàn > Thu nhập sau thuế của Thành viên Ban Tổng Giám đốc,Thu nhập sau thuế của Thành viên Ban Tổng Giám đốc,(96.283),(88.746),-96283.0,-88746.0
Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,,
Cho vay đã nhận về,Cho vay đã nhận về,Cho vay đã nhận về,,,,
- Công ty Cổ phần Hàng Không Tre Việt (*),Cho vay đã nhận về > - Công ty Cổ phần Hàng Không Tre Việt (*),- Công ty Cổ phần Hàng Không Tre Việt (*),3.561.447,3.792.394,3561447.0,3792394.0
- Các bên liên quan khác,Cho vay đã nhận về > - Các bên liên quan khác,- Các bên liên quan khác,79.705,56.101,79705.0,56101.0
Cho vay,Cho vay,Cho vay,,,,
- Công ty Cổ phần Hàng Không Tre Việt (*),Cho vay > - Công ty Cổ phần Hàng Không Tre Việt (*),- Công ty Cổ phần Hàng Không Tre Việt (*),3.539.574,3.821.200,3539574.0,3821200.0
- Các bên liên quan khác,Cho vay > - Các bên liên quan khác,- Các bên liên quan khác,1.291,38.678,1291.0,38678.0
Thu nhập lãi cho vay,Cho vay > Thu nhập lãi cho vay,Thu nhập lãi cho vay,204.684,311.870,204684.0,311870.0
Chi phí trả lãi tiền gửi,Cho vay > Chi phí trả lãi tiền gửi,Chi phí trả lãi tiền gửi,(13.834),(12.809),-13834.0,-12809.0
Thu nhập từ hoạt động dịch vụ,Cho vay > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,5.164,7.007,5164.0,7007.0
Chi phí khác,Cho vay > Chi phí khác,Chi phí khác,(3),(3.165),-3.0,-3165.0
Chi phí hoạt động kinh doanh ngoại hối,Cho vay > Chi phí hoạt động kinh doanh ngoại hối,Chi phí hoạt động kinh doanh ngoại hối,(4),-,-4.0,
