row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Không chịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Dưới 1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ 1 đến 3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 3 đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 6 đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 1 đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Không chịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Dưới 1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ 1 đến 3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 3 đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 6 đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 1 đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Trên 5 nămTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,,,,,,,,
- VND,Tiền gửi tại NHNN > - VND,- VND,N/A,N/A,"0,5%",N/A,N/A,N/A,N/A,N/A,,,0.005,,,,,
- Ngoại tệ,Tiền gửi tại NHNN > - Ngoại tệ,- Ngoại tệ,N/A,N/A,0%,N/A,N/A,N/A,N/A,N/A,,,0.0,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,,,,,,,,
- VND,- VND,- VND,N/A,N/A,"0%-5,6%","5,34%-5,36%","5,28%-5,5%","5,27%-5,36%",N/A,N/A,,,,,,,,
- Ngoại tệ,- Ngoại tệ,- Ngoại tệ,N/A,N/A,"0%-4,8%",N/A,N/A,N/A,N/A,N/A,,,,,,,,
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,,,,,,,,
- VND,- VND,- VND,"3,5%-33%",N/A,"1,16%-33%",4%-15%,"3,7%-20,6%","2,4%-29,76%","1,27%-26%","1,16%-20,4%",,,,,,,,
- Ngoại tệ,- VND > - Ngoại tệ,- Ngoại tệ,"5,6%-15,75%",N/A,6%,3%-6%,3%-7%,4%-8%,N/A,9%,,,0.06,,,,,0.09
