row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2024,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận chuyênTriệu VND,KhácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiệnvận chuyênTriệu VND,numeric__KhácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.654.267,3.416.226,855.817,413.968,8.340.278,3654267.0,3416226.0,855817.0,413968.0,8340278.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,38.928,73.435,17.856,18.500,148.719,38928.0,73435.0,17856.0,18500.0,148719.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),18.843,626.236,2.852,24.554,672.485,18843.0,626236.0,2852.0,24554.0,672485.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(1.503),(285.004),(3.528),(4.021),(294.056),-1503.0,-285004.0,-3528.0,-4021.0,-294056.0
Chênh lệch quy đổi tỷ giá hồi doái,Nguyên giá > Chênh lệch quy đổi tỷ giá hồi doái,Chênh lệch quy đổi tỷ giá hồi doái,(1.006),4.067,768,(61),3.768,-1006.0,4067.0,768.0,-61.0,3768.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.709.529,3.834.960,873.765,452.940,8.871.194,3709529.0,3834960.0,873765.0,452940.0,8871194.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.054.955,2.177.154,531.759,293.638,4.057.506,1054955.0,2177154.0,531759.0,293638.0,4057506.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,126.399,438.374,111.247,48.923,724.943,126399.0,438374.0,111247.0,48923.0,724943.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(1.162),(282.668),(3.528),(3.704),(291.062),-1162.0,-282668.0,-3528.0,-3704.0,-291062.0
Chênh lệch quy đổi tỷ giá hồi doái,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tỷ giá hồi doái,Chênh lệch quy đổi tỷ giá hồi doái,96,3.313,756,444,4.609,96.0,3313.0,756.0,444.0,4609.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.180.288,2.336.173,640.234,339.301,4.495.996,1180288.0,2336173.0,640234.0,339301.0,4495996.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.599.312,1.239.072,324.058,120.330,4.282.772,2599312.0,1239072.0,324058.0,120330.0,4282772.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.529.241,1.498.787,233.531,113.639,4.375.198,2529241.0,1498787.0,233531.0,113639.0,4375198.0
