row_label_raw,row_label_full,Ban Tổng Giám đốc,Ông Nguyễn Đức Thụy > Ông Nguyễn Thanh Nhung > Bà Nguyễn Đức Thạch Diễm > Ông Hà Văn Trung,Tổng Giám đốc(từ ngày 3 tháng 3 năm 2026)Quyền Tổng Giám đốc(từ ngày 23 tháng 12 năm 2025đến ngày 2 tháng 3 năm 2026) > Phó Tổng Giám đốc(từ ngày 23 tháng 12 năm 2025)Quyền Tổng Giám đốc(từ ngày 27 tháng 5 năm 2025đến ngày 22 tháng 12 năm 2025) > Tổng Giám đốc(dếng ngày 26 tháng 5 năm 2025) > Phó Tổng Giám đốc thường trực(từ ngày 25 tháng 12 năm 2025)Phó Tổng Giám đốc(dếng ngày 24 tháng 12 năm 2025),numeric__Ông Nguyễn Đức Thụy > Ông Nguyễn Thanh Nhung > Bà Nguyễn Đức Thạch Diễm > Ông Hà Văn Trung,numeric__Tổng Giám đốc(từ ngày 3 tháng 3 năm 2026)Quyền Tổng Giám đốc(từ ngày 23 tháng 12 năm 2025đến ngày 2 tháng 3 năm 2026) > Phó Tổng Giám đốc(từ ngày 23 tháng 12 năm 2025)Quyền Tổng Giám đốc(từ ngày 27 tháng 5 năm 2025đến ngày 22 tháng 12 năm 2025) > Tổng Giám đốc(dếng ngày 26 tháng 5 năm 2025) > Phó Tổng Giám đốc thường trực(từ ngày 25 tháng 12 năm 2025)Phó Tổng Giám đốc(dếng ngày 24 tháng 12 năm 2025)
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Minh Tâm,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Đào Nguyên Vũ,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bà Quách Thanh Ngọc Thủy,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Hồ Doãn Cường,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Lê Đức Thịnh,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bà Nguyễn Thị Kim Oanh,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bà Nguyễn Thị Kiều Anh,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Vũ Minh Quân,Phó Tổng Giám đốc(từ ngày 25 tháng 12 năm 2025),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Bá Trị,Phó Tổng Giám đốc(dếng ngày 26 tháng 5 năm 2025),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Hoàng Thanh Hải,Phó Tổng Giám đốc(dếng ngày 26 tháng 5 năm 2025),,
Kế toán trường,Kế toán trường,Kế toán trường,Ông Huỳnh Thanh Giang,Kế toán trường,,
Người đại diện theo pháp luật,Người đại diện theo pháp luật,Người đại diện theo pháp luật,Ông Nguyễn Đức Thụy,Tổng Giám đốc(từ ngày 3 tháng 3 năm 2026),,
Người đại diện theo pháp luật,Người đại diện theo pháp luật,Người đại diện theo pháp luật,Ông Dương Công Minh,Chủ tịch Hội đồng Quản trị(từ ngày 23 tháng 12 năm 2025đến ngày 2 tháng 3 năm 2026),,
Người đại diện theo pháp luật,Người đại diện theo pháp luật,Người đại diện theo pháp luật,Ông Nguyễn Thanh Nhung,Quyền Tổng Giám đốc(từ ngày 27 tháng 5 năm 2025đến ngày 22 tháng 12 năm 2025),,
Người đại diện theo pháp luật,Người đại diện theo pháp luật,Người đại diện theo pháp luật,Bà Nguyễn Đức Thạch Diễm,Tổng Giám đốc(dếng ngày 26 tháng 5 năm 2025),,
Trụ sở chính,Trụ sở chính,Trụ sở chính,"266-268 Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa Thành phố Hồ Chí Minh, Việt Nam","266-268 Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa Thành phố Hồ Chí Minh, Việt Nam",,
Công ty kiểm toán,Công ty kiểm toán,Công ty kiểm toán,Công ty TNHH KPMG Việt Nam,Công ty TNHH KPMG Việt Nam,,
