row_label_raw,row_label_full,Số dư đầu năm > Trích lập dự phòng rủi ro cho tài sản Có trong năm (Thuyết minh 30) > Trích lập dự phòng giảm giá tài sản Có khác trong năm(Thuyết minh 26) > Hoàn nhập dự phòng cho khoản phải thu từ các hợp đồng mua và cam kết bán lại chứng khoán (Thuyết minh 31),31/12/2025Triệu VND > 3.537.422 > 29.036 > 25.177 > -,31/12/2024Triệu VND > 2.906.690 > 648.473 > - > (17.111),numeric__31/12/2025Triệu VND > 3.537.422 > 29.036 > 25.177 > -,numeric__31/12/2024Triệu VND > 2.906.690 > 648.473 > - > (17.111)
Sử dụng dự phòng,Sử dụng dự phòng,Sử dụng dự phòng,-,(775),,-775.0
Các điều chỉnh khác,Các điều chỉnh khác,Các điều chỉnh khác,302,145,302.0,145.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,3.591.937,3.537.422,3591937.0,3537422.0
