row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Quá hạn > Trên 3 thángTriệu VND,Quá hạn > Đến 3 thángTriệu VND,Quá hạn > Đến 1 thángTriệu VND,Quá hạn > Từ trên 1 đến3 thángTriệu VND,Trong hạn > Từ trên 3 đến12 thángTriệu VND,Trong hạn > Từ 1 đến 5 nămTriệu VND,Trong hạn > Trên 5 nămTriệu VND,Trong hạn > Tổng cộngTriệu VND,numeric__Quá hạn > Trên 3 thángTriệu VND,numeric__Quá hạn > Đến 3 thángTriệu VND,numeric__Quá hạn > Đến 1 thángTriệu VND,numeric__Quá hạn > Từ trên 1 đến3 thángTriệu VND,numeric__Trong hạn > Từ trên 3 đến12 thángTriệu VND,numeric__Trong hạn > Từ 1 đến 5 nămTriệu VND,numeric__Trong hạn > Trên 5 nămTriệu VND,numeric__Trong hạn > Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,8.214.653,-,-,-,-,8.214.653,,,8214653.0,,,,,8214653.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,17.644.155,-,-,-,-,17.644.155,,,17644155.0,,,,,17644155.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,87.761.435,104.770,374.971,-,-,88.241.176,,,87761435.0,104770.0,374971.0,,,88241176.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,12.957.190,4.133.290,33.632.500,99.419.317,192.303.131,80.999.567,115.869.663,539.314.658,12957190.0,4133290.0,33632500.0,99419317.0,192303131.0,80999567.0,115869663.0,539314658.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,12.190.184,106.354,12.045.363,35.922.766,38.653.498,98.918.165,,,12190184.0,106354.0,12045363.0,35922766.0,38653498.0,98918165.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,96.642,96.642,,,,,,,96642.0,96642.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,6.304,3.630,77.525,1.462.309,5.805.360,7.355.128,,,6304.0,3630.0,77525.0,1462309.0,5805360.0,7355128.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,2.240.154,681,5.577.202,806.272,2.591.159,2.695.670,87.334,13.998.472,2240154.0,681.0,5577202.0,806272.0,2591159.0,2695670.0,87334.0,13998472.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),15.197.344,4.133.971,165.026.433,100.440.343,207.392.149,121.080.312,160.512.497,773.783.049,15197344.0,4133971.0,165026433.0,100440343.0,207392149.0,121080312.0,160512497.0,773783049.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ vàNHNNVN,Nợ phải trả > Các khoản nợ Chính phủ vàNHNNVN,Các khoản nợ Chính phủ vàNHNNVN,-,-,1.684,2.249,10.421,39.901,-,54.255,,,1684.0,2249.0,10421.0,39901.0,,54255.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,68.565.686,454.720,455.117,892.845,286.924,70.655.292,,,68565686.0,454720.0,455117.0,892845.0,286924.0,70655292.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,199.611.681,121.609.162,237.856.766,7.778.675,25.530,566.881.814,,,199611681.0,121609162.0,237856766.0,7778675.0,25530.0,566881814.0
Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,-,54.007,-,-,-,-,54.007,,,54007.0,,,,,54007.0
"Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,1.743,9.255,128.785,309.226,449.009,,,,1743.0,9255.0,128785.0,309226.0,449009.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,5.094.501,203.147,18.818.691,10.827.559,1.809.625,36.753.523,,,5094501.0,203147.0,18818691.0,10827559.0,1809625.0,36753523.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,6.936.800,3.783.254,7.257.551,293.180,3.791,18.274.576,,,6936800.0,3783254.0,7257551.0,293180.0,3791.0,18274576.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,280.264.359,126.054.275,264.407.801,19.960.945,2.435.096,693.122.476,,,280264359.0,126054275.0,264407801.0,19960945.0,2435096.0,693122476.0
Mức chênh thanh khoản ròng[(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng[(3)=(1)-(2)],Mức chênh thanh khoản ròng[(3)=(1)-(2)],15.197.344,4.133.971,(115.237.926),(25.613.932),(57.015.652),101.119.367,158.077.401,80.660.573,15197344.0,4133971.0,-115237926.0,-25613932.0,-57015652.0,101119367.0,158077401.0,80660573.0
