row_label_raw,row_label_full,Năm kết thúcngày 31 tháng 12 năm 2025,Quyềnsử dụng đấtTriệu VND,Phần mềmmáy vi tínhTriệu VND,KhácTriệu VND,Tổng cộngTriệu VND,numeric__Quyềnsử dụng đấtTriệu VND,numeric__Phần mềmmáy vi tínhTriệu VND,numeric__KhácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.615.257,2.387.927,827,5.004.011,2615257.0,2387927.0,827.0,5004011.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,6.562,-,6.562,,6562.0,,6562.0
Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 14(a)(i)),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 14(a)(i)),Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 14(a)(i)),-,136.214,-,136.214,,136214.0,,136214.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(9.530),(21.770),-,(31.300),-9530.0,-21770.0,,-31300.0
Chênh lệch tỷ giá hối đoái,Nguyên giá > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,807,2.925,-,3.732,807.0,2925.0,,3732.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.606.534,2.511.858,827,5.119.219,2606534.0,2511858.0,827.0,5119219.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,81.007,1.942.426,648,2.024.081,81007.0,1942426.0,648.0,2024081.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.460,193.796,143,202.399,8460.0,193796.0,143.0,202399.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(21.770),-,(21.770),,-21770.0,,-21770.0
Chênh lệch tỷ giá hối đoái,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,2.182,-,2.182,,2182.0,,2182.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,89.467,2.116.634,791,2.206.892,89467.0,2116634.0,791.0,2206892.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.534.250,445.501,179,2.979.930,2534250.0,445501.0,179.0,2979930.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.517.067,395.224,36,2.912.327,2517067.0,395224.0,36.0,2912327.0
