row_label_raw,row_label_full,1,Bảo lãnh vay vốn,34,132.907,145.561,numeric__Bảo lãnh vay vốn,numeric__34,numeric__132.907,numeric__145.561
2,2,2,Cam kết giao dịch hối đoái Trong đó:,34,54.223.854,96.982.516,,34.0,54223854.0,96982516.0
2,2,2,▪ Cam kết mua ngoại tệ,,396.703,2.872.223,,,396703.0,2872223.0
2,2,2,▪ Cam kết bán ngoại tệ,,266.066,1.060.117,,,266066.0,1060117.0
2,2,2,▪ Cam kết giao dịch hoán đối tiền tệ,,53.561.085,93.050.176,,,53561085.0,93050176.0
4,4,4,Cam kết trong nghiệp vụ L/C,34,8.371.153,7.782.191,,34.0,8371153.0,7782191.0
5,5,5,Bảo lãnh khác,34,13.769.696,12.004.614,,34.0,13769696.0,12004614.0
6,6,6,Các cam kết khác,34,38.355,-,,34.0,38355.0,
7,7,7,Lãi cho vay và phí phải thu chưa thu được,35,29.940.569,31.735.519,,35.0,29940569.0,31735519.0
8,8,8,Nợ khó đòi đã xử lý,36,15.980.444,9.034.321,,36.0,15980444.0,9034321.0
9,9,9,Tài sản và chứng từ khác,37,71.579.748,78.470.578,,37.0,71579748.0,78470578.0
