row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị ghi sốTriệu VND,31/12/2025 > Giá trịhợp lýTriệu VND,31/12/2024 > Giá trị ghi sốTriệu VND,31/12/2024 > Giá trịhợp lýTriệu VND,numeric__31/12/2025 > Giá trị ghi sốTriệu VND,numeric__31/12/2025 > Giá trịhợp lýTriệu VND,numeric__31/12/2024 > Giá trị ghi sốTriệu VND,numeric__31/12/2024 > Giá trịhợp lýTriệu VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản tài chính > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5.401.563,5.401.563,8.214.653,8.214.653,5401563.0,5401563.0,8214653.0,8214653.0
Tiền gửi tại NHNN,Tài sản tài chính > Tiền gửi tại NHNN,Tiền gửi tại NHNN,18.059.258,18.059.258,17.644.155,17.644.155,18059258.0,18059258.0,17644155.0,17644155.0
Tiền gửi và cho vay các TCTDkhác,Tài sản tài chính > Tiền gửi và cho vay các TCTDkhác,Tiền gửi và cho vay các TCTDkhác,172.510.005,(*),88.241.176,(*),172510005.0,,88241176.0,
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản tài chính > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,234.999,(*),-,(*),234999.0,,,
Cho vay khách hàng – thuần,Tài sản tài chính > Cho vay khách hàng – thuần,Cho vay khách hàng – thuần,606.336.391,(*),530.448.003,(*),606336391.0,,530448003.0,
Chứng khoán sẵn sàng để bán –thuần,Tài sản tài chính > Chứng khoán sẵn sàng để bán –thuần,Chứng khoán sẵn sàng để bán –thuần,33.022.017,(*),23.542.839,(*),33022017.0,,23542839.0,
Chứng khoán giữ đến ngày đáohan – thuần,Tài sản tài chính > Chứng khoán giữ đến ngày đáohan – thuần,Chứng khoán giữ đến ngày đáohan – thuần,59.107.682,(*),62.105.338,(*),59107682.0,,62105338.0,
Đầu tư dài hạn khác – thuần,Tài sản tài chính > Đầu tư dài hạn khác – thuần,Đầu tư dài hạn khác – thuần,81.971,(*),82.204,(*),81971.0,,82204.0,
Tài sản tài chính khác – thuần,Tài sản tài chính > Tài sản tài chính khác – thuần,Tài sản tài chính khác – thuần,10.364.869,(*),9.151.733,(*),10364869.0,,9151733.0,
,,,905.118.755,,739.430.101,,905118755.0,,739430101.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Các khoản nợ Chính phủ vàNHNNVN,Nợ phải trả tài chính > Các khoản nợ Chính phủ vàNHNNVN,Các khoản nợ Chính phủ vàNHNNVN,22.246.916,(*),54.255,(*),22246916.0,,54255.0,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,156.037.068,(*),70.655.292,(*),156037068.0,,70655292.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,618.341.672,(*),566.881.814,(*),618341672.0,,566881814.0,
Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả tài chính > Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,(*),54.007,(*),,,54007.0,
"Vốn tài trợ ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả tài chính > Vốn tài trợ ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ ủy thác đầu tư, cho vayTCTD chịu rủi ro",568.659,(*),449.009,(*),568659.0,,449009.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,39.184.704,(*),36.753.523,(*),39184704.0,,36753523.0,
Các khoản nợ tài chính khác,Nợ phải trả tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,16.336.203,(*),12.803.839,(*),16336203.0,,12803839.0,
,,,852.715.222,,687.651.739,,852715222.0,,687651739.0,
