row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2025,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận chuyểnTriệu VND,KhácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiệnvận chuyểnTriệu VND,numeric__KhácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.709.529,3.834.960,873.765,452.940,8.871.194,3709529.0,3834960.0,873765.0,452940.0,8871194.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.910,71.410,62.482,27.946,163.748,1910.0,71410.0,62482.0,27946.0,163748.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),26.708,294.881,31.609,8.182,361.380,26708.0,294881.0,31609.0,8182.0,361380.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(103.399),(56.157),(25.330),(13.653),(198.539),-103399.0,-56157.0,-25330.0,-13653.0,-198539.0
Chênh lệch quy đổi tỷ giá hối đoái,Nguyên giá > Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,8.481,2.971,959,3.341,15.752,8481.0,2971.0,959.0,3341.0,15752.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(39.182),-,-,-,(39.182),-39182.0,,,,-39182.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.604.047,4.148.065,943.485,478.756,9.174.353,3604047.0,4148065.0,943485.0,478756.0,9174353.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.180.288,2.336.173,640.234,339.301,4.495.996,1180288.0,2336173.0,640234.0,339301.0,4495996.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,129.779,450.921,73.980,42.892,697.572,129779.0,450921.0,73980.0,42892.0,697572.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(46.890),(55.751),(24.037),(12.977),(139.655),-46890.0,-55751.0,-24037.0,-12977.0,-139655.0
Chênh lệch quy đổi tỷ giá hối đoái,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,5.031,2.443,800,2.576,10.850,5031.0,2443.0,800.0,2576.0,10850.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(22.698),-,-,-,(22.698),-22698.0,,,,-22698.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.245.510,2.733.786,690.977,371.792,5.042.065,1245510.0,2733786.0,690977.0,371792.0,5042065.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.529.241,1.498.787,233.531,113.639,4.375.198,2529241.0,1498787.0,233531.0,113639.0,4375198.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.358.537,1.414.279,252.508,106.964,4.132.288,2358537.0,1414279.0,252508.0,106964.0,4132288.0
