row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Quá hạn > Trên 3 thángTriệu VND,Quá hạn > Đến 3 thángTriệu VND,Quá hạn > Đến 1 thángTriệu VND,Quá hạn > Từ trên 1 đến3 thángTriệu VND,Trong hạn > Từ trên 3 đến12 thángTriệu VND,Trong hạn > Từ 1 đến 5 nămTriệu VND,Trong hạn > Trên 5 nămTriệu VND,Trong hạn > Tổng cộngTriệu VND,numeric__Quá hạn > Trên 3 thángTriệu VND,numeric__Quá hạn > Đến 3 thángTriệu VND,numeric__Quá hạn > Đến 1 thángTriệu VND,numeric__Quá hạn > Từ trên 1 đến3 thángTriệu VND,numeric__Trong hạn > Từ trên 3 đến12 thángTriệu VND,numeric__Trong hạn > Từ 1 đến 5 nămTriệu VND,numeric__Trong hạn > Trên 5 nămTriệu VND,numeric__Trong hạn > Tổng cộngTriệu VND
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,5.401.563,-,-,-,-,5.401.563,,,5401563.0,,,,,5401563.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,18.059.258,-,-,-,-,18.059.258,,,18059258.0,,,,,18059258.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,169.150.401,3.147.353,212.251,-,-,172.510.005,,,169150401.0,3147353.0,212251.0,,,172510005.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,-,234.999,-,-,-,-,234.999,,,234999.0,,,,,234999.0
Cho vay khách hàng – gộp,Tải sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,40.136.758,4.658.005,42.330.756,118.815.084,216.183.689,75.727.018,128.541.026,626.392.336,40136758.0,4658005.0,42330756.0,118815084.0,216183689.0,75727018.0,128541026.0,626392336.0
Chứng khoán đầu tư – gộp,Tải sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,16.241.697,1.358.938,17.001.648,37.735.247,27.888.691,100.226.221,,,16241697.0,1358938.0,17001648.0,37735247.0,27888691.0,100226221.0
"Gộp vốn, đầu tư dài hạn – gộp","Tải sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,96.642,96.642,,,,,,,96642.0,96642.0
Tài sản cố định và bất động sản đầu tư,Tải sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,-,2.175.169,3.669,58.283,1.726.158,3.095.857,7.059.136,,,2175169.0,3669.0,58283.0,1726158.0,3095857.0,7059136.0
Tài sản Có khác – gộp,Tải sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,2.264.757,869,8.676.752,1.185.351,3.688.325,3.012.005,70.659,18.898.718,2264757.0,869.0,8676752.0,1185351.0,3688325.0,3012005.0,70659.0,18898718.0
