row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Vốn đầu tưXDCB vàmua sắm TSCDTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Vốn khácTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Quỹ dự trữbố sungvốn điều lệTriệu VND,Quỹđầu tự pháttriểnTriệu VND,Chênh lệchty giáhối đoáiTriệu VND,Lợi nhuậnchưaphân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Vốn đầu tưXDCB vàmua sắm TSCDTriệu VND,numeric__Thặng dưvốn cổ phầnTriệu VND,numeric__Vốn khácTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Quỹ dự trữbố sungvốn điều lệTriệu VND,numeric__Quỹđầu tự pháttriểnTriệu VND,numeric__Chênh lệchty giáhối đoáiTriệu VND,numeric__Lợi nhuậnchưaphân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày1 tháng 1 năm 2025,Số dư tại ngày1 tháng 1 năm 2025,Số dư tại ngày1 tháng 1 năm 2025,18.852.157,1.121,1.747.651,653,3.840.326,2.123.733,118.539,(138.225),28.426.115,54.972.070,18852157.0,1121.0,1747651.0,653.0,3840326.0,2123733.0,118539.0,-138225.0,28426115.0,54972070.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,-,-,-,-,-,-,-,-,5.939.111,5.939.111,,,,,,,,,5939111.0,5939111.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,-,-,-,-,919.836,1.022.040,-,-,(1.941.876),-,,,,,919836.0,1022040.0,,,-1941876.0,
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,-,-,-,-,-,-,-,-,(1.130.094),(1.130.094),,,,,,,,,-1130094.0,-1130094.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,-,-,-,-,-,-,-,84.812,970,85.782,,,,,,,,84812.0,970.0,85782.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiĐiều chỉnh khác,-,-,-,-,(125),-,-,-,-,(125),,,,,-125.0,,,,,-125.0
Số dư tại ngày31 tháng 12 năm 2025,Số dư tại ngày31 tháng 12 năm 2025,Số dư tại ngày31 tháng 12 năm 2025,18.852.157,1.121,1.747.651,653,4.760.037,3.145.773,118.539,(53.413),31.294.226,59.866.744,18852157.0,1121.0,1747651.0,653.0,4760037.0,3145773.0,118539.0,-53413.0,31294226.0,59866744.0
Số dư tại ngày1 tháng 1 năm 2024,Số dư tại ngày1 tháng 1 năm 2024,Số dư tại ngày1 tháng 1 năm 2024,18.852.157,1.121,1.747.651,653,3.111.410,1.741.208,118.539,(225.489),20.386.614,45.733.864,18852157.0,1121.0,1747651.0,653.0,3111410.0,1741208.0,118539.0,-225489.0,20386614.0,45733864.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiKhác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiKhác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiKhác,-,-,-,-,-,-,-,-,10.087.495,10.087.495,,,,,,,,,10087495.0,10087495.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiKhác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiKhác,Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 20(b)(i))Chênh lệch tỷ giá hối đoáiKhác,-,-,-,-,728.916,382.525,-,-,(1.111.441),-,,,,,728916.0,382525.0,,,-1111441.0,
