row_label_raw,row_label_full,Họ và tên,Chức vụ,Triệu đồng,Thông tin bổ nhiệm,numeric__Chức vụ,numeric__Triệu đồng,numeric__Thông tin bổ nhiệm
Ông Trần Ngọc Cường,Ông Trần Ngọc Cường,Ông Trần Ngọc Cường,Chủ tịch HĐQT,1.646,Bổ nhiệm,,1646.0,
Ông Trần Ngọc Cường,Ông Trần Ngọc Cường,Ông Trần Ngọc Cường,Sacombank Cambodia,,ngày 12 tháng 1 năm 2026,,,
Ông Trần Ngọc Cường,Ông Trần Ngọc Cường,Ông Trần Ngọc Cường,Phó chủ tịch HĐQT,,Bổ nhiệm,,,
Ông Trần Ngọc Cường,Ông Trần Ngọc Cường,Ông Trần Ngọc Cường,Sacombank Lào,,ngày 7 tháng 7 năm 2025,,,
Ông Nguyễn Nhị Thanh,Ông Trần Ngọc Cường > Ông Nguyễn Nhị Thanh,Ông Nguyễn Nhị Thanh,Phó Chủ tịch HĐQT,6.444,Bổ nhiệm,,6444.0,
Ông Nguyễn Nhị Thanh,Ông Nguyễn Nhị Thanh,Ông Nguyễn Nhị Thanh,Sacombank Cambodia,,ngày 12 tháng 1 năm 2026,,,
Ông Nguyễn Nhị Thanh,Ông Nguyễn Nhị Thanh,Ông Nguyễn Nhị Thanh,Chủ tịch HĐQT,,Thời nhiệm,,,
Ông Nguyễn Nhị Thanh,Ông Nguyễn Nhị Thanh,Ông Nguyễn Nhị Thanh,Sacombank Lào,,ngày 7 tháng 7 năm 2025,,,
Ông Phùng Thái Phụng,Ông Nguyễn Nhị Thanh > Ông Phùng Thái Phụng,Ông Phùng Thái Phụng,Thành viên HĐQT,6.311,Bổ nhiệm,,6311.0,
Ông Phùng Thái Phụng,Ông Phùng Thái Phụng,Ông Phùng Thái Phụng,kiêm TGD Sacombank,,ngày 12 tháng 1 năm 2026,,,
Ông Phùng Thái Phụng,Ông Phùng Thái Phụng,Ông Phùng Thái Phụng,Cambodia,,,,,
Ông Phan Hoàng Anh,Ông Phùng Thái Phụng > Ông Phan Hoàng Anh,Ông Phan Hoàng Anh,Thành viên HĐQT,4.133,Bổ nhiệm,,4133.0,
Ông Phan Hoàng Anh,Ông Phan Hoàng Anh,Ông Phan Hoàng Anh,kiêm PTGD Sacombank,,ngày 12 tháng 1 năm 2026,,,
Ông Phan Hoàng Anh,Ông Phan Hoàng Anh,Ông Phan Hoàng Anh,Cambodia,,,,,
Ông Chhuon Chhen,Ông Phan Hoàng Anh > Ông Chhuon Chhen,Ông Chhuon Chhen,Thành viên HĐQT,2.627,Bổ nhiệm,,2627.0,
Ông Chhuon Chhen,Ông Chhuon Chhen,Ông Chhuon Chhen,kiêm PTGD Sacombank,,ngày 12 tháng 1 năm 2026,,,
Ông Chhuon Chhen,Ông Chhuon Chhen,Ông Chhuon Chhen,Cambodia,,,,,
Ông Ly Rotha,Ông Chhuon Chhen > Ông Ly Rotha,Ông Ly Rotha,Thành viên HĐQT độc lập,623,Bổ nhiệm,,623.0,
Ông Ly Rotha,Ông Ly Rotha,Ông Ly Rotha,Sacombank Cambodia,,ngày 12 tháng 1 năm 2026,,,
Ông Phùng Nguyễn Âu Độ,Ông Ly Rotha > Ông Phùng Nguyễn Âu Độ,Ông Phùng Nguyễn Âu Độ,Thành viên HĐQT độc lập,467,Bổ nhiệm,,467.0,
Ông Phùng Nguyễn Âu Độ,Ông Phùng Nguyễn Âu Độ,Ông Phùng Nguyễn Âu Độ,Sacombank Cambodia,,ngày 12 tháng 1 năm 2026,,,
Ông Lợi Quốc Khan,Ông Phùng Nguyễn Âu Độ > Ông Lợi Quốc Khan,Ông Lợi Quốc Khan,Thành viên HĐQT,671,Thôi nhiệm,,671.0,
Ông Lợi Quốc Khan,Ông Lợi Quốc Khan,Ông Lợi Quốc Khan,Sacombank Cambodia,,ngày 15 tháng 5 năm 2025,,,
Bà Võ Thị Nhược Thùy,Ông Lợi Quốc Khan > Bà Võ Thị Nhược Thùy,Bà Võ Thị Nhược Thùy,Chủ tịch HĐQT,1.553,Bổ nhiệm,,1553.0,
Bà Võ Thị Nhược Thùy,Bà Võ Thị Nhược Thùy,Bà Võ Thị Nhược Thùy,Sacombank Lào,,ngày 7 tháng 7 năm 2025,,,
Ông Phan Thanh Tuấn,Bà Võ Thị Nhược Thùy > Ông Phan Thanh Tuấn,Ông Phan Thanh Tuấn,Thành viên HĐQT,4.210,Bổ nhiệm,,4210.0,
Ông Phan Thanh Tuấn,Ông Phan Thanh Tuấn,Ông Phan Thanh Tuấn,kiêm TGD Sacombank Lào,,ngày 7 tháng 7 năm 2025,,,
Bà Bouathong Sisavath,Ông Phan Thanh Tuấn > Bà Bouathong Sisavath,Bà Bouathong Sisavath,Thành viên HĐQT kiểm PTGD Sacombank Lào,1.663,Bổ nhiệm,,1663.0,
Bà Bouathong Sisavath,Bà Bouathong Sisavath,Bà Bouathong Sisavath,Thành viên HĐQT,,ngày 7 tháng 7 năm 2025,,,
Ông Đăng Ngọc Tịnh,Ông Đăng Ngọc Tịnh,Ông Đăng Ngọc Tịnh,Thành viên HĐQT,,Thôi nhiệm,,,
Ông Đăng Ngọc Tịnh,Ông Đăng Ngọc Tịnh > Ông Đăng Ngọc Tịnh,Ông Đăng Ngọc Tịnh,Sacombank Lào,741,ngày 7 tháng 7 năm 2025,,741.0,
Ông Bounyou Sisane,Ông Đăng Ngọc Tịnh > Ông Bounyou Sisane,Ông Bounyou Sisane,Thành viên HĐQT độc lập,476,Bổ nhiệm,,476.0,
Ông Bounyou Sisane,Ông Bounyou Sisane,Ông Bounyou Sisane,Sacombank Lào,,ngày 7 tháng 7 năm 2025,,,
Ông Phan Tấn Dũng,Ông Bounyou Sisane > Ông Phan Tấn Dũng,Ông Phan Tấn Dũng,Chủ tịch HĐQT,3.085,Tái Bổ nhiệm,,3085.0,
Ông Phan Tấn Dũng,Ông Phan Tấn Dũng,Ông Phan Tấn Dũng,Sacombank SBA kiểm TGĐ Sacombank SBA,,ngày 11 tháng 1 năm 2026,,,
Ông Lê Quang Vinh,Ông Phan Tấn Dũng > Ông Lê Quang Vinh,Ông Lê Quang Vinh,Chủ tịch HĐQT,3.527,Bổ nhiệm,,3527.0,
Ông Lê Quang Vinh,Ông Lê Quang Vinh,Ông Lê Quang Vinh,Sacombank SBJ,,ngày 3 tháng 2 năm 2025,,,
Ông Trần Minh Khoa,Ông Lê Quang Vinh > Ông Trần Minh Khoa,Ông Trần Minh Khoa,Chủ tịch HĐQT kiểm TGĐ,3.736,Bổ nhiệm,,3736.0,
Ông Trần Minh Khoa,Ông Trần Minh Khoa,Ông Trần Minh Khoa,Sacombank SBR,,ngày 6 tháng 5 năm 2022,,,
Ông Lưu Huỳnh,Ông Trần Minh Khoa > Ông Lưu Huỳnh,Ông Lưu Huỳnh,Chủ tịch HĐQT,4.092,Bổ nhiệm,,4092.0,
Ông Lưu Huỳnh,Ông Lưu Huỳnh,Ông Lưu Huỳnh,Sacombank SBL,,ngày 22 tháng 4 năm 2022,,,
