row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,10.407.784.894.240,10.991.149.365.386,561.442.939.068,237.494.423.591,1.319.392.748,22.199.191.015.033,10407784894240.0,10991149365386.0,561442939068.0,237494423591.0,1319392748.0,22199191015033.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,1.971.714.940,722.109.090,3.808.048.000,326.842.000,-,6.828.714.030,1971714940.0,722109090.0,3808048000.0,326842000.0,,6828714030.0
Thanh lý trong năm,NGUYÊN GIÁ > Thanh lý trong năm,Thanh lý trong năm,-,-,(2.952.448.858),-,-,(2.952.448.858),,,-2952448858.0,,,-2952448858.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,10.409.756.609.180,10.991.871.474.476,562.298.538.210,237.821.265.591,1.319.392.748,22.203.067.280.205,10409756609180.0,10991871474476.0,562298538210.0,237821265591.0,1319392748.0,22203067280205.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,8.114.851.302.150,10.190.529.882.044,469.544.581.737,234.974.329.773,1.158.229.480,19.011.058.325.184,8114851302150.0,10190529882044.0,469544581737.0,234974329773.0,1158229480.0,19011058325184.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,326.610.479.051,140.340.584.620,12.314.236.072,1.678.710.262,26.388.456,480.970.398.461,326610479051.0,140340584620.0,12314236072.0,1678710262.0,26388456.0,480970398461.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(2.952.448.858),-,-,(2.952.448.858),,,-2952448858.0,,,-2952448858.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,8.441.461.781.201,10.330.870.466.664,478.906.368.951,236.653.040.035,1.184.617.936,19.489.076.274.787,8441461781201.0,10330870466664.0,478906368951.0,236653040035.0,1184617936.0,19489076274787.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.292.933.592.090,800.619.483.342,91.898.357.331,2.520.093.818,161.163.268,3.188.132.689.849,2292933592090.0,800619483342.0,91898357331.0,2520093818.0,161163268.0,3188132689849.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.968.294.827.979,661.001.007.812,83.392.169.259,1.168.225.556,134.774.812,2.713.991.005.418,1968294827979.0,661001007812.0,83392169259.0,1168225556.0,134774812.0,2713991005418.0
