row_label_raw,row_label_full,col_0,Số báo cáoVND,Số trình bày lạiVND,numeric__Số báo cáoVND,numeric__Số trình bày lạiVND
Lợi nhuận kể toán sau thuế thu nhập doanh nghiệp,Lợi nhuận kể toán sau thuế thu nhập doanh nghiệp,Lợi nhuận kể toán sau thuế thu nhập doanh nghiệp,258.938.414.167,258.938.414.167,258938414167.0,258938414167.0
Số trích quỹ khen thưởng phúc lợi,Số trích quỹ khen thưởng phúc lợi,Số trích quỹ khen thưởng phúc lợi,-,(35.376.299.185),,-35376299185.0
Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,258.938.414.167,223.562.114.982,258938414167.0,223562114982.0
Cổ phiếu phổ thông đang lưu hành bình quân trong năm (cổ phiếu),Cổ phiếu phổ thông đang lưu hành bình quân trong năm (cổ phiếu),Cổ phiếu phổ thông đang lưu hành bình quân trong năm (cổ phiếu),500.000.000,500.000.000,500000000.0,500000000.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,518,447,518.0,447.0
