row_label_raw,row_label_full,Công ty Mua bán điện - Tập đoàn Điện lực Việt Nam (i),Số cuối nămVND > 1.673.599.053.048,Số đầu nămVND > 2.540.077.301.636,numeric__Số cuối nămVND > 1.673.599.053.048,numeric__Số đầu nămVND > 2.540.077.301.636
Công ty TNHH Phát triển Thương mại và Xuất nhập khẩu Thành Đạt,Công ty TNHH Phát triển Thương mại và Xuất nhập khẩu Thành Đạt,Công ty TNHH Phát triển Thương mại và Xuất nhập khẩu Thành Đạt,286.932.330,634.920.936,286932330.0,634920936.0
Công ty TNHH My Sơn,Công ty TNHH My Sơn,Công ty TNHH My Sơn,642.714.274,544.865.383,642714274.0,544865383.0
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,146.564.370,216.019.961,146564370.0,216019961.0
,,,1.674.675.264.022,2.541.473.107.916,1674675264022.0,2541473107916.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn của khách hàng các bên liên quan (Chi tiết tại Thuyết minh số 32),Trong đó: > Phải thu ngắn hạn của khách hàng các bên liên quan (Chi tiết tại Thuyết minh số 32),Phải thu ngắn hạn của khách hàng các bên liên quan (Chi tiết tại Thuyết minh số 32),1.673.599.053.048,2.540.077.301.636,1673599053048.0,2540077301636.0
