row_label_raw,row_label_full,Tập đoàn Công nghiệp Than Khoáng sản Việt Nam,Số cuối năm > Giá trị > 316.498.823.645,Số cuối năm > VND Số có khả năng trả nợ > 316.498.823.645,Số đầu năm > Giá trị > 623.449.511.905,Số đầu năm > VND Số có khả năng trả nợ > 623.449.511.905,numeric__Số cuối năm > Giá trị > 316.498.823.645,numeric__Số cuối năm > VND Số có khả năng trả nợ > 316.498.823.645,numeric__Số đầu năm > Giá trị > 623.449.511.905,numeric__Số đầu năm > VND Số có khả năng trả nợ > 623.449.511.905
Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,421.805.881.054,421.805.881.054,226.637.114.652,226.637.114.652,421805881054.0,421805881054.0,226637114652.0,226637114652.0
Viện nghiên cứu Cơ khí,Viện nghiên cứu Cơ khí,Viện nghiên cứu Cơ khí,94.245.505.199,94.245.505.199,13.048.936.717,13.048.936.717,94245505199.0,94245505199.0,13048936717.0,13048936717.0
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,-,-,6.596.657.520,6.596.657.520,,,6596657520.0,6596657520.0
Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt diện Miền Bắc,Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt diện Miền Bắc,Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt diện Miền Bắc,42.973.968.602,42.973.968.602,5.124.919.898,5.124.919.898,42973968602.0,42973968602.0,5124919898.0,5124919898.0
Công ty TNHH MTV Thí nghiệm diện Miền Bắc,Công ty TNHH MTV Thí nghiệm diện Miền Bắc,Công ty TNHH MTV Thí nghiệm diện Miền Bắc,1.079.528.040,1.079.528.040,1.671.904.005,1.671.904.005,1079528040.0,1079528040.0,1671904005.0,1671904005.0
Khác,Khác,Khác,295.250.508.396,295.250.508.396,77.065.277.746,77.065.277.746,295250508396.0,295250508396.0,77065277746.0,77065277746.0
,,,1.171.854.214.936,1.171.854.214.936,953.594.322.443,953.594.322.443,1171854214936.0,1171854214936.0,953594322443.0,953594322443.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Phải trả người bán ngắn hạn là các bên liên quan(chi tiết tại Thuyết minh số 32),Trong đó: > Phải trả người bán ngắn hạn là các bên liên quan(chi tiết tại Thuyết minh số 32),Phải trả người bán ngắn hạn là các bên liên quan(chi tiết tại Thuyết minh số 32),1.665.456.634,1.665.456.634,8.671.053.324,8.671.053.324,1665456634.0,1665456634.0,8671053324.0,8671053324.0
