row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,,,
Số dư đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Số dư đầu năm,Số dư đầu năm,5.000.000.000.000,196.652.770.150,25.891.795.906,272.523.243.737,517.471.552.679,6.012.539.362.472,5000000000000.0,196652770150.0,25891795906.0,272523243737.0,517471552679.0,6012539362472.0
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,258.938.414.167,258.938.414.167,,,,,258938414167.0,258938414167.0
Trích Quỹ đầu tư phát triển,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,-,-,111.985.037.929,(111.985.037.929),-,,,,111985037929.0,-111985037929.0,
"Trích Quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,(47.275.731.422),(47.275.731.422),,,,,-47275731422.0,-47275731422.0
Chia cổ tức,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Chia cổ tức,Chia cổ tức,-,-,-,-,(501.000.000.000),(501.000.000.000),,,,,-501000000000.0,-501000000000.0
Tài sản hình thành từ các quỹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Tài sản hình thành từ các quỹ,Tài sản hình thành từ các quỹ,-,-,29.929.590.870,(29.929.590.870),-,-,,,29929590870.0,-29929590870.0,,
Số dư cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Số dư cuối năm,Số dư cuối năm,5.000.000.000.000,196.652.770.150,55.821.386.776,354.578.690.796,116.149.197.495,5.723.202.045.217,5000000000000.0,196652770150.0,55821386776.0,354578690796.0,116149197495.0,5723202045217.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,,,,,,
Số dư đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Số dư đầu năm,Số dư đầu năm,5.000.000.000.000,196.652.770.150,55.821.386.776,354.578.690.796,116.149.197.495,5.723.202.045.217,5000000000000.0,196652770150.0,55821386776.0,354578690796.0,116149197495.0,5723202045217.0
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,342.427.662.130,342.427.662.130,,,,,342427662130.0,342427662130.0
Trích Quỹ đầu tư phát triển (i),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),-,-,-,30.772.898.310,(30.772.898.310),-,,,,30772898310.0,-30772898310.0,
"Trích Quỹ khen thưởng, phúc lợi (i)","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)",-,-,-,-,(35.376.299.185),(35.376.299.185),,,,,-35376299185.0,-35376299185.0
Chia cổ tức (i),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Chia cổ tức (i),Chia cổ tức (i),-,-,-,-,(50.000.000.000),(50.000.000.000),,,,,-50000000000.0,-50000000000.0
Tài sản hình thành từ các quỹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Tài sản hình thành từ các quỹ,Tài sản hình thành từ các quỹ,-,-,380.000.000,(380.000.000),-,-,,,380000000.0,-380000000.0,,
Số dư cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Số dư cuối năm,Số dư cuối năm,5.000.000.000.000,196.652.770.150,56.201.386.776,384.971.589.106,342.427.662.130,5.980.253.408.162,5000000000000.0,196652770150.0,56201386776.0,384971589106.0,342427662130.0,5980253408162.0
