row_label_raw,row_label_full,Bà Phạm Thị Dung,Trường Ban Kiểm soát,numeric__Trường Ban Kiểm soát
Bà Lê Thị Thủy,Bà Lê Thị Thủy,Bà Lê Thị Thủy,Thành viên Ban Kiểm soát,
Ông Nguyễn Ngọc Anh,Ông Nguyễn Ngọc Anh,Ông Nguyễn Ngọc Anh,Thành viên Ban Kiểm soát,
Ông Trần Minh Tâm,Ông Trần Minh Tâm,Ông Trần Minh Tâm,Thành viên Ban Kiểm soát,
Bà Nguyễn Thị Huỳnh Hoa,Bà Nguyễn Thị Huỳnh Hoa,Bà Nguyễn Thị Huỳnh Hoa,Thành viên Ban Kiểm soát (bố nhiệm từ ngày 24 tháng 6 năm 2025),
Ông Vũ Quang Huy,Ông Vũ Quang Huy,Ông Vũ Quang Huy,Thành viên Ban Kiểm soát (miễn nhiệm từ ngày 24 tháng 6 năm 2025),
