row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bi giảm giá triệu đồng,Đã quá hạn và chưa bi giảm giá triệu đồng,Đã quá hạn và đã trích lập dự phòng triệu đồng,Tổng cộng triệu đồng,numeric__Chưa quá hạn và chưa bi giảm giá triệu đồng,numeric__Đã quá hạn và chưa bi giảm giá triệu đồng,numeric__Đã quá hạn và đã trích lập dự phòng triệu đồng,numeric__Tổng cộng triệu đồng
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,4.011.859,-,-,4.011.859,4011859.0,,,4011859.0
- Tiến gửi tại TCTD khác,- Tiến gửi tại TCTD khác,- Tiến gửi tại TCTD khác,2.873.059,-,-,2.873.059,2873059.0,,,2873059.0
- Cho vay các TCTD khác,- Cho vay các TCTD khác,- Cho vay các TCTD khác,1.138.800,-,-,1.138.800,1138800.0,,,1138800.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,125.224.676,2.641.717,1.333.415,129.199.808,125224676.0,2641717.0,1333415.0,129199808.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,316.532,1.055,11.537,329.124,316532.0,1055.0,11537.0,329124.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,27.924.549,-,-,27.924.549,27924549.0,,,27924549.0
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,27.882.169,-,-,27.882.169,27882169.0,,,27882169.0
- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,42.380,-,-,42.380,42380.0,,,42380.0
Tài sân Có khác,Tài sân Có khác,Tài sân Có khác,3.766.419,-,-,3.766.419,3766419.0,,,3766419.0
Tổng cộng,Tổng cộng,Tổng cộng,161.244.035,2.642.772,1.344.952,165.231.759,161244035.0,2642772.0,1344952.0,165231759.0
