row_label_raw,row_label_full,col_0,31/12/2019 triệu đồng,31/12/2018 triệu đồng,numeric__31/12/2019 triệu đồng,numeric__31/12/2018 triệu đồng
"Các khoản lãi, phí phải trả (i)","Các khoản lãi, phí phải trả (i)","Các khoản lãi, phí phải trả (i)",2.517.090,1.463.142,2517090.0,1463142.0
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,589.885,511.956,589885.0,511956.0
Các khoản phải trả cán bộ nhân viên,Các khoản phải trả cán bộ nhân viên,Các khoản phải trả cán bộ nhân viên,355.837,301.501,355837.0,301501.0
"Quý khen thưởng, phúc lợi","Quý khen thưởng, phúc lợi","Quý khen thưởng, phúc lợi",136.823,81.669,136823.0,81669.0
Phải trả cổ tức cho cổ đông,Phải trả cổ tức cho cổ đông,Phải trả cổ tức cho cổ đông,3.218,12.955,3218.0,12955.0
Phải trả nội bộ khác,Phải trả nội bộ khác,Phải trả nội bộ khác,94.007,115.831,94007.0,115831.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,766.213,767.940,766213.0,767940.0
Thuế và các khoản phải nộp Nhà nước (Thuyết minh 20),Thuế và các khoản phải nộp Nhà nước (Thuyết minh 20),Thuế và các khoản phải nộp Nhà nước (Thuyết minh 20),256.295,213.250,256295.0,213250.0
Tiền giữ hộ và đơi thanh toán,Tiền giữ hộ và đơi thanh toán,Tiền giữ hộ và đơi thanh toán,5.363,3.748,5363.0,3748.0
Phải trả thanh toán giữa các tổ chức tín dụng,Phải trả thanh toán giữa các tổ chức tín dụng,Phải trả thanh toán giữa các tổ chức tín dụng,306.561,145.167,306561.0,145167.0
Phải trả chuyển tiền chờ thanh toán,Phải trả chuyển tiền chờ thanh toán,Phải trả chuyển tiền chờ thanh toán,122.296,39.802,122296.0,39802.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,75.645,365.920,75645.0,365920.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,53,53,53.0,53.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,478.524,467.663,478524.0,467663.0
,,,4.351.712,3.210.701,4351712.0,3210701.0
