row_label_raw,row_label_full,col_0,31/12/2019%/năm,31/12/2018%/năm,numeric__31/12/2019%/năm,numeric__31/12/2018%/năm
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,"4,2% - 4,8%","4,5% - 4,8%",,
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng VND > Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,"1,7%","2,6% - 3,6%",0.017,
Cho vay bằng VND,Cho vay bằng VND,Cho vay bằng VND,"4,8% - 8,1%","4,4% - 8,0%",,
Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,"2,8% - 4,5%","3,7% - 4,5%",,
