row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcriệu đồng",Máy mócthiết bịtriệu đồng,Phương tiện vântải và thiết bịtruyền đãntriệu đồng,"Thiết bị, dụng cụquản lýtriệu đồng",TSCĐ hữu hìnhkháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúcriệu đồng",numeric__Máy mócthiết bịtriệu đồng,numeric__Phương tiện vântải và thiết bịtruyền đãntriệu đồng,"numeric__Thiết bị, dụng cụquản lýtriệu đồng",numeric__TSCĐ hữu hìnhkháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ: > Số dư đầu năm,Số dư đầu năm,101.907,304.405,51.530,35.359,88.729,581.930,101907.0,304405.0,51530.0,35359.0,88729.0,581930.0
Mua trong năm,Nguyên giá TSCĐ: > Mua trong năm,Mua trong năm,4.328,58.260,-,10.015,8.468,81.071,4328.0,58260.0,,10015.0,8468.0,81071.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.193),(999),-,(110),(570),(3.872),-2193.0,-999.0,,-110.0,-570.0,-3872.0
Số dư cuối năm,Nguyên giá TSCĐ: > Số dư cuối năm,Số dư cuối năm,104.042,361.666,51.530,45.264,96.627,659.129,104042.0,361666.0,51530.0,45264.0,96627.0,659129.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,41.061,212.492,45.550,17.734,70.073,386.910,41061.0,212492.0,45550.0,17734.0,70073.0,386910.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,6.014,26.881,1.143,6.047,7.667,47.752,6014.0,26881.0,1143.0,6047.0,7667.0,47752.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.167),(900),-,(110),(570),(3.747),-2167.0,-900.0,,-110.0,-570.0,-3747.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,44.908,238.473,46.693,23.671,77.170,430.915,44908.0,238473.0,46693.0,23671.0,77170.0,430915.0
Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ: > Số dư đầu năm,Số dư đầu năm,60.846,91.913,5.980,17.625,18.656,195.020,60846.0,91913.0,5980.0,17625.0,18656.0,195020.0
Số dư cuối năm,Giá trị còn lại của TSCĐ: > Số dư cuối năm,Số dư cuối năm,59.134,123.193,4.837,21.593,19.457,228.214,59134.0,123193.0,4837.0,21593.0,19457.0,228214.0
