row_label_raw,row_label_full,col_0,04/09/2017,numeric__04/09/2017
,,,triệu đồng,
Giá trị nợ gốc bằng VND,Giá trị nợ gốc bằng VND,Giá trị nợ gốc bằng VND,1.147.463,1147463.0
Lãi dự thu,Lãi dự thu,Lãi dự thu,3.426,3426.0
Dự phòng rủi ro,Dự phòng rủi ro,Dự phòng rủi ro,(18.940),-18940.0
Giá trị mua nợ tại ngày 04/09/2017,Giá trị mua nợ tại ngày 04/09/2017,Giá trị mua nợ tại ngày 04/09/2017,1.131.949,1131949.0
