row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu Quỹ,Quỹ đầu tư phát triển (*),Quỹ dự phòng tài chính,Quỹ dữ trữ bổ sung vốn điều lệ,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu Quỹ,numeric__Quỹ đầu tư phát triển (*),numeric__Quỹ dự phòng tài chính,numeric__Quỹ dữ trữ bổ sung vốn điều lệ,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
Số dư tại 01/01/2018,Số dư tại 01/01/2018,Số dư tại 01/01/2018,5.644.425,1.158.533,(763.159),707.319,431.994,888.270,720.139,8.787.521,5644425.0,1158533.0,-763159.0,707319.0,431994.0,888270.0,720139.0,8787521.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,,,,,,,2.193.921,2.193.921,,,,,,,2193921.0,2193921.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,2.190.248,(394.143),,(700.099),,(884.470),(211.536),,2190248.0,-394143.0,,-700099.0,,-884470.0,-211536.0,
Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,,,,,,,,,,,,,,,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập các quỹ thuộc vốn chủ sở hữu > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",,,,1.103.336,106.800,57.967,(1.268.103),,,,,1103336.0,106800.0,57967.0,-1268103.0,
Thường cho nhân viên bằng cổ phiếu quỹ,Trích lập các quỹ thuộc vốn chủ sở hữu > Thường cho nhân viên bằng cổ phiếu quỹ,Thường cho nhân viên bằng cổ phiếu quỹ,,(43.822),43.822,,,,(46.169),(46.169),,-43822.0,43822.0,,,,-46169.0,-46169.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,,,,,,,,,,,,,,,,
Mua lại cổ phiếu lẻ từ tăng vốn trong năm,Chi trả cổ tức > Mua lại cổ phiếu lẻ từ tăng vốn trong năm,Mua lại cổ phiếu lẻ từ tăng vốn trong năm,,,,,,,(265.195),(265.195),,,,,,,-265195.0,-265195.0
Sử dụng quỹ dự phòng tài chính để xử lý rủi ro,Chi trả cổ tức > Sử dụng quỹ dự phòng tài chính để xử lý rủi ro,Sử dụng quỹ dự phòng tài chính để xử lý rủi ro,,,(19),,,,,(19),,,-19.0,,,,,-19.0
,,,,,,,(2.414),,,(2.414),,,,,-2414.0,,,-2414.0
Số dư tại 31/12/2018,Chi trả cổ tức > Số dư tại 31/12/2018,Số dư tại 31/12/2018,7.834.673,720.568,(719.356),1.110.556,536.380,61.767,1.123.057,10.667.645,7834673.0,720568.0,-719356.0,1110556.0,536380.0,61767.0,1123057.0,10667645.0
