row_label_raw,row_label_full,col_0,Trong nước triệu đồng,Nước ngoài triệu đồng,Tổng cộng triệu đồng,numeric__Trong nước triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản vào ngày 31 tháng 12 năm 2019,Tài sản vào ngày 31 tháng 12 năm 2019,Tài sản vào ngày 31 tháng 12 năm 2019,161.564.408,83.652,161.648.060,161564408.0,83652.0,161648060.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,3.928.809,83.050,4.011.859,3928809.0,83050.0,4011859.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,129.199.808,-,129.199.808,129199808.0,,129199808.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,326.572,-,326.572,326572.0,,326572.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,27.924.549,-,27.924.549,27924549.0,,27924549.0
"Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",184.670,602,185.272,184670.0,602.0,185272.0
Công nợ vào ngày 31 tháng 12 năm 2019,Công nợ vào ngày 31 tháng 12 năm 2019,Công nợ vào ngày 31 tháng 12 năm 2019,150.211.975,16.527.452,166.739.427,150211975.0,16527452.0,166739427.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,15.689.890,11.535.220,27.225.110,15689890.0,11535220.0,27225110.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,117.364.812,4.992.232,122.357.044,117364812.0,4992232.0,122357044.0
Các công cụ tài chính phải sinh và công nợ khác,Các công cụ tài chính phải sinh và công nợ khác,Các công cụ tài chính phải sinh và công nợ khác,2.426,-,2.426,2426.0,,2426.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,17.154.847,-,17.154.847,17154847.0,,17154847.0
Cam kết ngoại bảng vào ngày 31 tháng 12 năm 2019,Cam kết ngoại bảng vào ngày 31 tháng 12 năm 2019,Cam kết ngoại bảng vào ngày 31 tháng 12 năm 2019,94.292.397,-,94.292.397,94292397.0,,94292397.0
