row_label_raw,row_label_full,col_0,Quá hạn,Không địnhlai lãi suất,Lãi suất được định lại trong vòng,Lãi suất được định lại trong vòng_1,Lãi suất được định lại trong vòng_2,Lãi suất được định lại trong vòng_3,Lãi suất được định lại trong vòng_4,Lãi suất được định lại trong vòng_5,Tổng,numeric__Quá hạn,numeric__Không địnhlai lãi suất,numeric__Lãi suất được định lại trong vòng,numeric__Lãi suất được định lại trong vòng_1,numeric__Lãi suất được định lại trong vòng_2,numeric__Lãi suất được định lại trong vòng_3,numeric__Lãi suất được định lại trong vòng_4,numeric__Lãi suất được định lại trong vòng_5,numeric__Tổng
,,,Quá hạn,Không địnhlai lãi suất,Đến 1 tháng,Từ 1 - 3tháng,Từ 3 - 6tháng,Từ 6 - 12tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",,1.159.602,,,,,,,1.159.602,,1159602.0,,,,,,,1159602.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,,,19.040.311,,,,,,19.040.311,,,19040311.0,,,,,,19040311.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),,,2.672.025,414.427,675.407,250.000,,,4.011.859,,,2672025.0,414427.0,675407.0,250000.0,,,4011859.0
Cho vay khách hàng và hoạt động mua nợ (*),Tài sản > Cho vay khách hàng và hoạt động mua nợ (*),Cho vay khách hàng và hoạt động mua nợ (*),1.370.658,,28.482.207,60.592.154,16.009.859,21.735.810,1.265.121,70.571,129.526.380,1370658.0,,28482207.0,60592154.0,16009859.0,21735810.0,1265121.0,70571.0,129526380.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),,,1.010.060,1.993.874,6.025.989,7.302.718,8.796.388,2.795.520,27.924.549,,,1010060.0,1993874.0,6025989.0,7302718.0,8796388.0,2795520.0,27924549.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",,185.272,,,,,,,185.272,,185272.0,,,,,,,185272.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,,365.109,,,,,,,365.109,,365109.0,,,,,,,365109.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),,3.766.419,,,,,,,3.766.419,,3766419.0,,,,,,,3766419.0
