row_label_raw,row_label_full,col_0,Năm 2019 triệu đồng,Năm 2018 triệu đồng,numeric__Năm 2019 triệu đồng,numeric__Năm 2018 triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,2.238.183,1.026.934,2238183.0,1026934.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,552.324,335.239,552324.0,335239.0
Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,4.406,4.709,4406.0,4709.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,29,19.041,29.0,19041.0
Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,1.902,1.772,1902.0,1772.0
Thu phí duy trì tài khoản,Thu phí duy trì tài khoản,Thu phí duy trì tài khoản,15.929,18.154,15929.0,18154.0
Thu phí dịch vụ mobile banking,Thu phí dịch vụ mobile banking,Thu phí dịch vụ mobile banking,33.255,23.594,33255.0,23594.0
Thu phí hoa hồng bảo hiểm,Thu phí hoa hồng bảo hiểm,Thu phí hoa hồng bảo hiểm,1.111.629,239.888,1111629.0,239888.0
Thu phí khác,Thu phí khác,Thu phí khác,518.709,384.537,518709.0,384537.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(440.883),(292.189),-440883.0,-292189.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(217.901),(155.685),-217901.0,-155685.0
Cước phí bưu điện về mạng viễn thông,Cước phí bưu điện về mạng viễn thông,Cước phí bưu điện về mạng viễn thông,(41.047),(29.408),-41047.0,-29408.0
Nghiệp vụ đại lý và ủy thác,Nghiệp vụ đại lý và ủy thác,Nghiệp vụ đại lý và ủy thác,(18.299),(4.245),-18299.0,-4245.0
Dịch vụ tư vấn,Dịch vụ tư vấn,Dịch vụ tư vấn,(6.898),(5.652),-6898.0,-5652.0
Dịch vụ môi giới,Dịch vụ môi giới,Dịch vụ môi giới,(139.726),(80.189),-139726.0,-80189.0
Chi khác,Chi khác,Chi khác,(17.012),(17.010),-17012.0,-17010.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,1.797.300,734.745,1797300.0,734745.0
