row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) Triệu đồng > Tại ngày 31 tháng 12 năm 2023,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền vào Triệu đồng > Tại ngày 31 tháng 12 năm 2023,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền ra Triệu đồng > Tại ngày 31 tháng 12 năm 2023,Giá trị thuần Triệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) Triệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền vào Triệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền ra Triệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Giá trị thuần Triệu đồng > Tại ngày 31 tháng 12 năm 2023
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,204.200.296,191.571.768,(191.356.892),214.876,204200296.0,191571768.0,-191356892.0,214876.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,69.312.472,69.587.257,(69.467.050),120.207,69312472.0,69587257.0,-69467050.0,120207.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,134.887.824,121.984.511,(121.889.842),94.669,134887824.0,121984511.0,-121889842.0,94669.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,52.050.865,36.023.229,(36.365.726),(342.497),52050865.0,36023229.0,-36365726.0,-342497.0
,,,256.251.161,227.594.997,(227.722.618),(127.621),256251161.0,227594997.0,-227722618.0,-127621.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2022 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,100.183.614,98.657.034,(98.559.458),97.576,100183614.0,98657034.0,-98559458.0,97576.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2022 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,27.580.241,27.692.826,(27.472.003),220.823,27580241.0,27692826.0,-27472003.0,220823.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2022 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,72.603.373,70.964.208,(71.087.455),(123.247),72603373.0,70964208.0,-71087455.0,-123247.0
Công cụ tài chính phải sinh khác,Tại ngày 31 tháng 12 năm 2022 > Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,71.935.456,42.318.992,(42.288.194),30.798,71935456.0,42318992.0,-42288194.0,30798.0
,,,172.119.070,140.976.026,(140.847.652),128.374,172119070.0,140976026.0,-140847652.0,128374.0
