row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2023Triệu đồng,Ngày 31 tháng 12năm 2022Triệu đồng,numeric__Ngày 31 tháng 12năm 2023Triệu đồng,numeric__Ngày 31 tháng 12năm 2022Triệu đồng
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,12.378,164.738,12378.0,164738.0
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,12.378,164.738,12378.0,164738.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,8.134.916,7.082.934,8134916.0,7082934.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,64.385,79.466,64385.0,79466.0
Các khoản treo chờ chuyển tiền,Các khoản treo chờ chuyển tiền,Các khoản treo chờ chuyển tiền,323.834,371.948,323834.0,371948.0
Thuế và các khoản phải trả ngân sách,Thuế và các khoản phải trả ngân sách,Thuế và các khoản phải trả ngân sách,,,,
Nhà nước (Thuyết minh số 23),Thuế và các khoản phải trả ngân sách > Nhà nước (Thuyết minh số 23),Nhà nước (Thuyết minh số 23),2.397.444,3.262.832,2397444.0,3262832.0
Phải trả về hoạt động thanh toán,Thuế và các khoản phải trả ngân sách > Phải trả về hoạt động thanh toán,Phải trả về hoạt động thanh toán,4.199.775,2.492.064,4199775.0,2492064.0
Phải trả nhà cung cấp,Thuế và các khoản phải trả ngân sách > Phải trả nhà cung cấp,Phải trả nhà cung cấp,44.361,15.701,44361.0,15701.0
Các khoản phải trả khác,Thuế và các khoản phải trả ngân sách > Các khoản phải trả khác,Các khoản phải trả khác,1.105.117,860.923,1105117.0,860923.0
,,,8.147.294,7.247.672,8147294.0,7247672.0
