row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
"Tổng dư nợ cho vay khách hàng, mua nợ và cấp tín dụng cho các TCTD khác","Tổng dư nợ cho vay khách hàng, mua nợ và cấp tín dụng cho các TCTD khác","Tổng dư nợ cho vay khách hàng, mua nợ và cấp tín dụng cho các TCTD khác",516.411.519,-,516.411.519,516411519.0,,516411519.0
Tổng huy động,Tổng huy động,Tổng huy động,581.979.310,38.708.391,620.687.701,581979310.0,38708391.0,620687701.0
Các cam kết tín dụng và bảo lãnh khác,Các cam kết tín dụng và bảo lãnh khác,Các cam kết tín dụng và bảo lãnh khác,59.981.299,-,59.981.299,59981299.0,,59981299.0
Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,16.190,111.431,127.621,16190.0,111431.0,127621.0
Kinh doanh và đầu tư chứng khoán,Kinh doanh và đầu tư chứng khoán,Kinh doanh và đầu tư chứng khoán,92.473.102,-,92.473.102,92473102.0,,92473102.0
