row_label_raw,row_label_full,Vay Ngân hàng Nhà nước Việt Nam,Ngày 31 tháng 12năm 2023Triệu đồng > 4.117.311,Ngày 31 tháng 12năm 2022Triệu đồng > 1.921.140,numeric__Ngày 31 tháng 12năm 2023Triệu đồng > 4.117.311,numeric__Ngày 31 tháng 12năm 2022Triệu đồng > 1.921.140
Vay chiết khấu các giấy tờ có giá,Vay chiết khấu các giấy tờ có giá,Vay chiết khấu các giấy tờ có giá,4.112.234,1.913.726,4112234.0,1913726.0
Vay khác,Vay khác,Vay khác,5.077,7.414,5077.0,7414.0
Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,1.000,8.093,1000.0,8093.0
Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,1.000,8.093,1000.0,8093.0
,,,4.118.311,1.929.233,4118311.0,1929233.0
