row_label_raw,row_label_full,col_0,Thuyết minh,Năm 2023 Triệu đồng,Năm 2022 Triệu đồng,numeric__Thuyết minh,numeric__Năm 2023 Triệu đồng,numeric__Năm 2022 Triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,25,61.138.882,43.674.965,25.0,61138882.0,43674965.0
Chi phí lãi và các khoản chi phí tương tự,Chi phí lãi và các khoản chi phí tương tự,Chi phí lãi và các khoản chi phí tương tự,26,(34.748.649),(18.068.868),26.0,-34748649.0,-18068868.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,26.390.233,25.606.097,,26390233.0,25606097.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,10.035.330,8.242.121,,10035330.0,8242121.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(3.931.824),(2.260.366),,-3931824.0,-2260366.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,27,6.103.506,5.981.755,27.0,6103506.0,5981755.0
Lỗ thuần từ hoạt động kinh doanh ngoại hối,Lỗ thuần từ hoạt động kinh doanh ngoại hối,Lỗ thuần từ hoạt động kinh doanh ngoại hối,28,(739.841),(448.133),28.0,-739841.0,-448133.0
Lãi/(Lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(Lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(Lỗ) thuần từ mua bán chứng khoán kinh doanh,29,106.029,(286.440),29.0,106029.0,-286440.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,30,257.326,506.759,30.0,257326.0,506759.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,5.858.826,11.187.533,,5858826.0,11187533.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,,(2.817.788),(1.999.183),,-2817788.0,-1999183.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,31,3.041.038,9.188.350,31.0,3041038.0,9188350.0
Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,32,3.147,42.997,32.0,3147.0,42997.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,35.161.438,40.591.385,,35161438.0,40591385.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,33,(9.162.906),(7.842.805),33.0,-9162906.0,-7842805.0
Lãi thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lãi thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lãi thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,25.998.532,32.748.580,,25998532.0,32748580.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,34,(12.530.235),(8.743.516),34.0,-12530235.0,-8743516.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,13.468.297,24.005.064,,13468297.0,24005064.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,23.1,(2.710.507),(4.796.414),231.0,-2710507.0,-4796414.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,8.153,-,,8153.0,
Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,23,(2.702.354),(4.796.414),23.0,-2702354.0,-4796414.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,10.765.943,19.208.650,,10765943.0,19208650.0
