row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bị dụngcụ quản lýTriệu đồng,Tài sản cố địnhkhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bị dụngcụ quản lýTriệu đồng,numeric__Tài sản cố địnhkhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,971.175,997.963,173.560,144.063,54.569,2.341.330,971175.0,997963.0,173560.0,144063.0,54569.0,2341330.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,17.065,22.987,672,-,40.724,,17065.0,22987.0,672.0,,40724.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,215.273,-,17.217,-,232.490,,215273.0,,17217.0,,232490.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(17.555),(1.312),(3.623),(3.630),(26.120),,-17555.0,-1312.0,-3623.0,-3630.0,-26120.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,971.175,1.212.746,195.235,158.329,50.939,2.588.424,971175.0,1212746.0,195235.0,158329.0,50939.0,2588424.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,124.772,747.421,113.268,125.863,53.630,1.164.954,124772.0,747421.0,113268.0,125863.0,53630.0,1164954.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,24.679,153.116,16.392,12.624,773,207.584,24679.0,153116.0,16392.0,12624.0,773.0,207584.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(17.555),(1.312),(3.597),(3.630),(26.094),,-17555.0,-1312.0,-3597.0,-3630.0,-26094.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,149.451,882.982,128.348,134.890,50.773,1.346.444,149451.0,882982.0,128348.0,134890.0,50773.0,1346444.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,846.403,250.542,60.292,18.200,939,1.176.376,846403.0,250542.0,60292.0,18200.0,939.0,1176376.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,821.724,329.764,66.887,23.439,166,1.241.980,821724.0,329764.0,66887.0,23439.0,166.0,1241980.0
